,name,lb,ub,fc,vc,lat,lon
0,札幌市,0.0,501136.2,10037,0.4325101259894917,43.06417,141.34694
1,青森市,0.0,501136.2,10235,0.4145734536835708,40.82444,140.74
2,盛岡市,0.0,501136.2,10908,0.4148016796970918,39.70361,141.1525
3,仙台市,0.0,501136.2,10072,0.13652498710837369,38.26889,140.87194
4,秋田市,0.0,501136.2,10767,0.029621600650781732,39.71861,140.1025
5,山形市,0.0,501136.2,10905,0.33526402003447275,38.24056,140.36333
6,福島市,0.0,501136.2,10715,0.29653275914902844,37.75,140.46778
7,水戸市,0.0,501136.2,10645,0.33582704871106717,36.34139,140.44666999999998
8,宇都宮市,0.0,501136.2,10847,0.2058939394845265,36.56583,139.88361
9,前橋市,0.0,501136.2,10960,0.0987754489923906,36.39111,139.06083
10,さいたま市,0.0,501136.2,10144,0.1448148202729062,35.85694,139.64889
11,千葉市,0.0,501136.2,10129,0.07106006773747847,35.60472,140.12333
12,新宿区,0.0,501136.2,10972,0.3916572363474431,35.689440000000005,139.69167
13,横浜市,0.0,501136.2,10583,0.20626942075151306,35.44778,139.6425
14,新潟市,0.0,501136.2,10749,0.017085655592919524,37.90222,139.02361000000002
15,富山市,0.0,501136.2,10508,0.31201499323867665,36.69528,137.21139
16,金沢市,0.0,501136.2,10390,0.33031786511900146,36.594440000000006,136.62556
17,福井市,0.0,501136.2,10281,0.14924764737652235,36.06528,136.22194
18,甲府市,0.0,501136.2,10178,0.22306725304305303,35.66389,138.56833
19,長野市,0.0,501136.2,10276,0.1110622737676874,36.65139,138.18111000000002
20,岐阜市,0.0,501136.2,10254,0.036682085871299785,35.39111,136.72222
21,静岡市,0.0,501136.2,10357,0.23461926321907156,34.97694,138.38306
22,名古屋市,0.0,501136.2,10914,0.04808613022273084,35.18028,136.90667
23,津市,0.0,501136.2,10468,0.4516850832394337,34.73028,136.50861
24,大津市,0.0,501136.2,10907,0.059745233990358415,35.00444,135.86833
25,京都市,0.0,501136.2,10252,0.26239968843522277,35.021390000000004,135.75556
26,大阪市,0.0,501136.2,10490,0.0418115022735131,34.68639,135.52
27,神戸市,0.0,501136.2,10668,0.45843066726486426,34.691390000000006,135.18306
28,奈良市,0.0,501136.2,10925,0.45522419089655075,34.68528,135.83278
29,和歌山市,0.0,501136.2,10398,0.14946505610485805,34.22611,135.1675
30,鳥取市,0.0,501136.2,10562,0.2921945603689646,35.503609999999995,134.23833
31,松江市,0.0,501136.2,10580,0.28295601373209656,35.47222,133.05056000000002
32,岡山市,0.0,501136.2,10215,0.30696915889802784,34.66167,133.935
33,広島市,0.0,501136.2,10983,0.4782678283352611,34.396390000000004,132.45944
34,山口市,0.0,501136.2,10753,0.1304894898077784,34.18583,131.47139
35,徳島市,0.0,501136.2,10503,0.11550771110629449,34.06583,134.55944
36,高松市,0.0,501136.2,10478,0.26672424530258765,34.34028,134.04333
37,松山市,0.0,501136.2,10864,0.4749690692663198,33.84167,132.76611
38,高知市,0.0,501136.2,10086,0.24652979677237297,33.55972,133.53111
39,福岡市,0.0,501136.2,10141,0.270300254411822,33.606390000000005,130.41806
40,佐賀市,0.0,501136.2,10393,0.38274255222043546,33.24944,130.29889
41,長崎市,0.0,501136.2,10007,0.022672864287326622,32.74472,129.87361
42,熊本市,0.0,501136.2,10319,0.06998305959585721,32.78972,130.74167
43,大分市,0.0,501136.2,10829,0.39620179289800955,33.23806,131.6125
44,宮崎市,0.0,501136.2,10534,0.014900679091196634,31.91111,131.42389
45,鹿児島市,0.0,501136.2,10313,0.44156273790971157,31.56028,130.55806
46,那覇市,0.0,501136.2,10513,0.2703940948004823,26.2125,127.68111
