index,name,weight,volume,cust_value,dc_value,plnt_value,fixed_cost,average_demand,standard_deviation,inv_cost,lot_size,safety_inventory,target_inventory,initial_inventory
0,A,2,0,7,1,1,14,11471.09090909091,749.5331880577404,0.005753424657534246,7471.678242374719,1236.7297602952715,8708.40800266999,4972.0
1,B,5,0,5,1,1,14,11194.90909090909,760.8468965567251,0.005753424657534246,7381.184925815835,1255.3973793185964,8636.582305134432,4945.0
2,C,1,0,5,1,1,19,4252.181818181818,302.64170234784234,0.005753424657534246,5299.495116032138,499.35880887393984,5798.853924906078,3149.0
3,D,3,0,5,1,1,17,517.3636363636364,20.506096654409877,0.005753424657534246,1748.5344512684694,33.8350594797763,1782.3695107482456,908.0
4,E,1,0,10,1,1,18,49448.0,3426.6394616300095,0.005753424657534246,17589.860715764637,5653.955111689515,23243.815827454153,14448.0
5,F,4,0,9,1,1,16,7534.545454545455,513.3595231414336,0.005753424657534246,6473.5171462215385,847.0432131833653,7320.5603594049035,4083.0
6,G,4,0,5,1,1,19,10038.0,725.4915574973977,0.005753424657534246,8142.395224993687,1197.0610698707062,9339.456294864394,5268.0
7,H,4,0,8,1,1,10,25088.0,1740.89689528128,0.005753424657534246,9338.66514372727,2872.4798772141116,12211.145020941382,7541.0
8,I,4,0,10,1,1,17,1596.0,101.82337649086284,0.005753424657534246,3071.0910113508526,168.00857120992367,3239.099582560776,1703.0
9,J,2,0,6,1,1,13,33668.09090909091,2295.9757185127196,0.005753424657534246,12334.816823147643,3788.3599355459874,16123.17675869363,9955.0
