,prod,cust,demand
0,A,0,256
1,A,1,13730
2,A,10,2617
3,A,11,934
4,A,12,3006
5,A,13,11086
6,A,14,9742
7,A,15,22086
8,A,16,918
9,A,17,6699
10,A,18,4305
11,A,19,4824
12,A,2,243
13,A,20,1342
14,A,21,1458
15,A,22,9926
16,A,23,3457
17,A,24,3482
18,A,25,3585
19,A,26,3986
20,A,27,2738
21,A,28,4049
22,A,29,608
23,A,3,1146
24,A,30,1027
25,A,31,2125
26,A,32,3175
27,A,33,3717
28,A,34,4165
29,A,35,1914
30,A,36,960
31,A,37,29638
32,A,38,912
33,A,39,2661
34,A,4,1657
35,A,40,2413
36,A,41,8398
37,A,42,768
38,A,43,634
39,A,44,2491
40,A,45,2986
41,A,46,9507
42,A,47,1846
43,A,48,2685
44,A,49,5231
45,A,5,4382
46,A,50,743
47,A,51,288
48,A,52,2273
49,A,53,958
50,A,54,1817
51,A,55,8123
52,A,56,1174
53,A,57,3712
54,A,58,29546
55,A,59,12038
56,A,6,4927
57,A,7,370
58,A,8,1387
59,A,9,1324
60,B,0,681
61,B,1,68010
62,B,10,11297
63,B,11,2607
64,B,12,14128
65,B,13,54299
66,B,14,41651
67,B,15,108192
68,B,16,3667
69,B,17,31919
70,B,18,19983
71,B,19,21465
72,B,2,802
73,B,20,5079
74,B,21,7172
75,B,22,46390
76,B,23,14729
77,B,24,16780
78,B,25,15974
79,B,26,19402
80,B,27,12544
81,B,28,18320
82,B,29,1957
83,B,3,5174
84,B,30,5237
85,B,31,9412
86,B,32,14914
87,B,33,17945
88,B,34,21344
89,B,35,8441
90,B,36,3066
91,B,37,145135
92,B,38,3051
93,B,39,13553
94,B,4,8245
95,B,40,8236
96,B,41,41763
97,B,42,4302
98,B,43,2955
99,B,44,11853
100,B,45,13377
101,B,46,40922
102,B,47,7319
103,B,48,12424
104,B,49,24784
105,B,5,20222
106,B,50,3466
107,B,51,836
108,B,52,11513
109,B,53,3650
110,B,54,7284
111,B,55,40534
112,B,56,4879
113,B,57,15185
114,B,58,142735
115,B,59,58599
116,B,6,24154
117,B,7,1138
118,B,8,4841
119,B,9,4579
120,C,0,855
121,C,1,84511
122,C,10,14102
123,C,11,3249
124,C,12,17658
125,C,13,67650
126,C,14,52329
127,C,15,134586
128,C,16,4604
129,C,17,39725
130,C,18,25336
131,C,19,26619
132,C,2,923
133,C,20,6541
134,C,21,9046
135,C,22,57675
136,C,23,18265
137,C,24,20884
138,C,25,19903
139,C,26,24395
140,C,27,15847
141,C,28,22942
142,C,29,2432
143,C,3,6397
144,C,30,6615
145,C,31,11822
146,C,32,18568
147,C,33,22414
148,C,34,26467
149,C,35,10537
150,C,36,3953
151,C,37,179989
152,C,38,3812
153,C,39,16840
154,C,4,10485
155,C,40,9988
156,C,41,51868
157,C,42,5380
158,C,43,3748
159,C,44,14912
160,C,45,16578
161,C,46,50848
162,C,47,9112
163,C,48,15629
164,C,49,30913
165,C,5,24990
166,C,50,4415
167,C,51,962
168,C,52,14341
169,C,53,4533
