,from_node,to_node,dist,cost,lead_time,stage_time,kind
0,Odawara,cust0,275.4114904708406,275.4114904708406,4,1,plnt-dc
1,Odawara,cust1,821.880026406068,821.880026406068,5,1,plnt-dc
2,Odawara,cust2,229.4466682946309,229.4466682946309,4,2,plnt-dc
3,Odawara,cust3,138.64754589490275,138.64754589490275,4,2,plnt-dc
4,Odawara,cust4,71.17937969690338,71.17937969690338,4,1,plnt-dc
5,Odawara,cust5,899.9189894876164,899.9189894876164,5,1,plnt-dc
6,Odawara,cust6,475.4669495275645,475.4669495275645,4,1,plnt-dc
7,Odawara,cust7,66.171567052486,66.171567052486,4,1,plnt-dc
8,Odawara,cust8,594.7564395994909,594.7564395994909,4,1,plnt-dc
9,Odawara,cust9,344.26738245886725,344.26738245886725,4,2,plnt-dc
10,Odawara,cust10,221.23922309610782,221.23922309610782,4,2,plnt-dc
11,Odawara,cust11,643.7748967839901,643.7748967839901,4,2,plnt-dc
12,Odawara,cust12,758.0358232735023,758.0358232735023,4,2,plnt-dc
13,Odawara,cust13,551.380372810089,551.380372810089,4,1,plnt-dc
14,Odawara,cust14,238.9694807251471,238.9694807251471,4,1,plnt-dc
15,Odawara,cust15,642.749961513485,642.749961513485,4,2,plnt-dc
16,Odawara,cust16,871.3597762762184,871.3597762762184,5,2,plnt-dc
17,Odawara,cust17,1016.4764971743859,1016.4764971743859,5,2,plnt-dc
18,Odawara,cust18,444.81237756980164,444.81237756980164,4,2,plnt-dc
19,Odawara,cust19,420.20894502268226,420.20894502268226,4,1,plnt-dc
20,Odawara,cust20,893.5952184015964,893.5952184015964,5,2,plnt-dc
21,Odawara,cust21,952.1655843955447,952.1655843955447,5,2,plnt-dc
22,Odawara,cust22,984.5649851824116,984.5649851824116,5,2,plnt-dc
23,Odawara,cust23,1473.552088758367,1473.552088758367,5,2,plnt-dc
24,Odawara,cust24,736.7852542914178,736.7852542914178,4,1,plnt-dc
25,Odawara,cust25,890.413347595179,890.413347595179,5,2,plnt-dc
26,Odawara,cust26,1135.0048959989035,1135.0048959989035,5,2,plnt-dc
27,Odawara,cust27,762.9007509815501,762.9007509815501,4,1,plnt-dc
28,Odawara,cust28,171.80712168177052,171.80712168177052,4,2,plnt-dc
29,Odawara,cust29,959.909592390093,959.909592390093,5,1,plnt-dc
30,Odawara,cust30,1003.3840976553272,1003.3840976553272,5,2,plnt-dc
31,Odawara,cust31,682.4469669936823,682.4469669936823,4,1,plnt-dc
32,Odawara,cust32,584.1412789129445,584.1412789129445,4,2,plnt-dc
33,Odawara,cust33,996.4416249080583,996.4416249080583,5,1,plnt-dc
34,Odawara,cust34,603.9599813318639,603.9599813318639,4,2,plnt-dc
35,Odawara,cust35,318.1924079723353,318.1924079723353,4,1,plnt-dc
36,Odawara,cust36,366.7748741375814,366.7748741375814,4,1,plnt-dc
37,Odawara,cust37,476.9745027527594,476.9745027527594,4,1,plnt-dc
38,Odawara,cust38,558.1010114972784,558.1010114972784,4,1,plnt-dc
39,Odawara,cust39,887.4567120111573,887.4567120111573,5,2,plnt-dc
40,Osaka,cust0,245.34667937230935,245.34667937230935,4,1,plnt-dc
41,Osaka,cust1,468.0206844347173,468.0206844347173,4,2,plnt-dc
42,Osaka,cust2,128.8338649987918,128.8338649987918,4,1,plnt-dc
43,Osaka,cust3,457.51627083567024,457.51627083567024,4,2,plnt-dc
44,Osaka,cust4,284.3598540401358,284.3598540401358,4,1,plnt-dc
45,Osaka,cust5,560.1655039251431,560.1655039251431,4,2,plnt-dc
46,Osaka,cust6,129.6302483068563,129.6302483068563,4,1,plnt-dc
47,Osaka,cust7,413.0728987539245,413.0728987539245,4,1,plnt-dc
48,Osaka,cust8,826.8016348743981,826.8016348743981,5,1,plnt-dc
49,Osaka,cust9,14.646775336655937,14.646775336655937,4,2,plnt-dc
50,Osaka,cust10,521.9393863302029,521.9393863302029,4,2,plnt-dc
51,Osaka,cust11,292.29354229732496,292.29354229732496,4,2,plnt-dc
52,Osaka,cust12,413.59984309620813,413.59984309620813,4,1,plnt-dc
53,Osaka,cust13,204.46393508786576,204.46393508786576,4,2,plnt-dc
54,Osaka,cust14,421.366535296867,421.366535296867,4,1,plnt-dc
55,Osaka,cust15,290.78519308633014,290.78519308633014,4,2,plnt-dc
56,Osaka,cust16,517.6493036324468,517.6493036324468,4,1,plnt-dc
57,Osaka,cust17,1215.8331286111472,1215.8331286111472,5,1,plnt-dc
58,Osaka,cust18,669.1581783317718,669.1581783317718,4,2,plnt-dc
59,Osaka,cust19,696.8713251421268,696.8713251421268,4,1,plnt-dc
60,Osaka,cust20,1095.9338433476685,1095.9338433476685,5,1,plnt-dc
61,Osaka,cust21,598.3347011325147,598.3347011325147,4,1,plnt-dc
62,Osaka,cust22,1228.0764036961054,1228.0764036961054,5,2,plnt-dc
