,date,cust,prod,demand
0,2019-01-01,DC_さいたま市,A,5.0
1,2019-01-01,Plnt_Odawara,A,6.0
2,2019-01-01,DC_さいたま市,B,13.0
3,2019-01-01,Plnt_Odawara,B,24.0
4,2019-01-01,DC_さいたま市,C,13.0
5,2019-01-01,Plnt_Odawara,C,27.0
6,2019-01-01,DC_さいたま市,D,6.0
7,2019-01-01,Plnt_Odawara,D,10.0
8,2019-01-01,DC_さいたま市,E,6.0
9,2019-01-01,Plnt_Odawara,E,14.0
10,2019-01-01,DC_さいたま市,F,6.0
11,2019-01-01,Plnt_Chiba,F,32.55273804869014
12,2019-01-01,DC_さいたま市,G,34.0
13,2019-01-01,Plnt_Chiba,G,72.0
14,2019-01-01,DC_さいたま市,H,0.0
15,2019-01-01,Plnt_Chiba,H,3.0
16,2019-01-01,DC_さいたま市,I,12.0
17,2019-01-01,Plnt_Chiba,I,21.0
18,2019-01-01,DC_さいたま市,J,0.0
19,2019-01-01,Plnt_Chiba,J,0.0
20,2019-01-01,DC_大津市,A,10.0
21,2019-01-01,Plnt_Osaka,A,28.0
22,2019-01-01,DC_大津市,B,43.0
23,2019-01-01,Plnt_Osaka,B,112.0
24,2019-01-01,DC_大津市,C,45.0
25,2019-01-01,Plnt_Osaka,C,114.0
26,2019-01-01,DC_大津市,D,6.0
27,2019-01-01,Plnt_Osaka,D,18.0
28,2019-01-01,DC_大津市,E,24.0
29,2019-01-01,Plnt_Osaka,E,61.0
30,2019-01-01,DC_大津市,F,19.0
31,2019-01-01,Plnt_Odawara,F,40.44726195130986
32,2019-01-01,DC_大津市,G,149.0
33,2019-01-01,Plnt_Odawara,G,393.0
34,2019-01-01,DC_大津市,H,15.0
35,2019-01-01,Plnt_Odawara,H,36.0
36,2019-01-01,DC_大津市,I,51.0
37,2019-01-01,Plnt_Odawara,I,139.0
38,2019-01-01,DC_大津市,J,2.0
39,2019-01-01,Plnt_Odawara,J,7.0
40,2019-01-01,DC_山形市,A,0.0
41,2019-01-01,DC_山形市,B,3.0
42,2019-01-01,DC_山形市,C,6.0
43,2019-01-01,DC_山形市,D,1.0
44,2019-01-01,DC_山形市,E,3.0
45,2019-01-01,DC_山形市,F,3.0
46,2019-01-01,DC_山形市,G,17.0
47,2019-01-01,DC_山形市,H,2.0
48,2019-01-01,DC_山形市,I,5.0
49,2019-01-01,DC_山形市,J,0.0
50,2019-01-01,DC_福岡市,A,3.0
51,2019-01-01,DC_福岡市,B,13.0
52,2019-01-01,DC_福岡市,C,14.0
53,2019-01-01,DC_福岡市,D,1.0
54,2019-01-01,DC_福岡市,E,9.0
55,2019-01-01,DC_福岡市,F,7.0
56,2019-01-01,DC_福岡市,G,53.0
57,2019-01-01,DC_福岡市,H,4.0
58,2019-01-01,DC_福岡市,I,21.0
59,2019-01-01,DC_福岡市,J,2.0
60,2019-01-01,DC_岐阜市,A,6.0
61,2019-01-01,DC_岐阜市,B,25.0
62,2019-01-01,DC_岐阜市,C,22.0
63,2019-01-01,DC_岐阜市,D,6.0
64,2019-01-01,DC_岐阜市,E,13.0
65,2019-01-01,DC_岐阜市,F,14.0
66,2019-01-01,DC_岐阜市,G,83.0
67,2019-01-01,DC_岐阜市,H,9.0
68,2019-01-01,DC_岐阜市,I,27.0
69,2019-01-01,DC_岐阜市,J,3.0
70,2019-01-01,DC_熊本市,A,0.0
71,2019-01-01,DC_熊本市,B,4.0
72,2019-01-01,DC_熊本市,C,5.0
73,2019-01-01,DC_熊本市,D,0.0
74,2019-01-01,DC_熊本市,E,2.0
75,2019-01-01,DC_熊本市,F,5.0
76,2019-01-01,DC_熊本市,G,13.0
77,2019-01-01,DC_熊本市,H,0.0
78,2019-01-01,DC_熊本市,I,5.0
79,2019-01-01,DC_熊本市,J,0.0
80,2019-01-01,DC_宮崎市,A,3.0
81,2019-01-01,DC_宮崎市,B,9.0
82,2019-01-01,DC_宮崎市,C,12.0
83,2019-01-01,DC_宮崎市,D,1.0
84,2019-01-01,DC_宮崎市,E,5.0
85,2019-01-01,DC_宮崎市,F,6.0
86,2019-01-01,DC_宮崎市,G,33.0
87,2019-01-01,DC_宮崎市,H,3.0
88,2019-01-01,DC_宮崎市,I,14.0
89,2019-01-01,DC_宮崎市,J,0.0
90,2019-01-01,DC_高松市,A,6.0
91,2019-01-01,DC_高松市,B,18.0
92,2019-01-01,DC_高松市,C,16.0
93,2019-01-01,DC_高松市,D,4.0
94,2019-01-01,DC_高松市,E,8.0
95,2019-01-01,DC_高松市,F,10.0
96,2019-01-01,DC_高松市,G,62.0
97,2019-01-01,DC_高松市,H,5.0
98,2019-01-01,DC_高松市,I,21.0
