,from_node,to_node,prod,flow
0,Plnt_Osaka,DC_cust17,prod26,991113.38
1,Plnt_Chiba,DC_cust6,prod1,1007469.2
2,Plnt_Osaka,DC_cust17,prod89,770559.12
3,Plnt_Chiba,DC_cust18,prod34,1604431.7
4,Plnt_Odawara,DC_cust5,prod46,14021362.0
5,Plnt_Chiba,DC_cust3,prod54,2324566.7
6,Plnt_Chiba,DC_cust38,prod81,889189.13
7,Plnt_Osaka,DC_cust30,prod91,4077515.3
8,Plnt_Odawara,DC_cust31,prod29,73911.497
9,Plnt_Odawara,DC_cust2,prod63,907405.04
10,Plnt_Odawara,DC_cust2,prod79,1009377.4
11,Plnt_Chiba,DC_cust18,prod63,1333274.8
12,Plnt_Odawara,DC_cust17,prod74,1081891.1
13,Plnt_Chiba,DC_cust28,prod68,66005.838
14,Plnt_Odawara,DC_cust27,prod68,1699222.4
15,Plnt_Osaka,DC_cust8,prod48,2840862.2
16,Plnt_Osaka,DC_cust2,prod89,925751.3
17,Plnt_Odawara,DC_cust2,prod73,798999.04
18,Plnt_Chiba,DC_cust18,prod73,1173957.3
19,Plnt_Chiba,DC_cust6,prod81,942853.16
20,Plnt_Odawara,DC_cust6,prod91,3707643.9
21,Plnt_Odawara,DC_cust18,prod60,1078590.0
22,Plnt_Osaka,DC_cust27,prod60,1049034.1
23,Plnt_Osaka,DC_cust17,prod39,749232.69
24,Plnt_Osaka,DC_cust5,prod23,1780290.5
25,Plnt_Odawara,DC_cust17,prod79,839822.88
26,Plnt_Odawara,DC_cust38,prod26,797270.3
27,Plnt_Odawara,DC_cust28,prod71,86280.385
28,Plnt_Odawara,DC_cust18,prod51,4369849.2
29,Plnt_Odawara,DC_cust2,prod43,3843988.5
30,Plnt_Odawara,DC_cust2,prod1,1421378.2
31,Plnt_Odawara,DC_cust3,prod26,2384725.5
32,Plnt_Chiba,DC_cust18,prod1,2085719.3
33,Plnt_Osaka,DC_cust30,prod48,1219433.9
34,Plnt_Osaka,DC_cust2,prod39,899919.53
35,Plnt_Odawara,DC_cust31,prod34,21110.838
36,Plnt_Chiba,DC_cust28,prod29,214466.58
37,Plnt_Odawara,DC_cust27,prod29,5400260.2
