,prod,cust,demand
0,prod1,cust0,730931.5521978025
1,prod1,cust1,824786.6895604393
2,prod1,cust10,1199578.5164835164
3,prod1,cust11,1090166.7582417584
4,prod1,cust12,124025.7967032967
5,prod1,cust13,131719.87637362635
6,prod1,cust14,1186240.9752747254
7,prod1,cust15,243942.33516483518
8,prod1,cust16,131639.6565934066
9,prod1,cust17,14815.590659340658
10,prod1,cust18,392169.43681318685
11,prod1,cust19,527438.0357142858
12,prod1,cust2,1997915.7417582422
13,prod1,cust20,171374.51923076925
14,prod1,cust21,942.5824175824176
15,prod1,cust22,90298.39285714287
16,prod1,cust23,22783.420329670327
17,prod1,cust24,30918.70879120879
18,prod1,cust25,21067.71978021978
19,prod1,cust26,3434.40934065934
20,prod1,cust27,6143.832417582417
21,prod1,cust28,53428.379120879115
22,prod1,cust29,697.9120879120879
23,prod1,cust3,445139.5604395605
24,prod1,cust30,45409.409340659346
25,prod1,cust31,2874.8763736263736
26,prod1,cust32,1692.6373626373627
27,prod1,cust33,8285.70054945055
28,prod1,cust34,118832.56868131866
29,prod1,cust35,10371.414835164836
30,prod1,cust36,722395.1648351648
31,prod1,cust37,107336.07142857143
32,prod1,cust38,1429492.4175824176
33,prod1,cust39,18200.865384615387
34,prod1,cust4,759127.8021978023
35,prod1,cust5,208480.1785714286
36,prod1,cust6,617948.0082417584
37,prod1,cust7,2613893.3516483516
38,prod1,cust8,747905.0549450549
39,prod1,cust9,1138760.892857143
40,prod23,cust0,487007.26648351655
41,prod23,cust1,550064.024725275
42,prod23,cust10,801259.2307692306
43,prod23,cust11,728979.2032967033
44,prod23,cust12,82649.43681318681
45,prod23,cust13,87700.27472527472
46,prod23,cust14,791488.461538462
47,prod23,cust15,162772.95329670326
48,prod23,cust16,87264.07967032968
49,prod23,cust17,9697.568681318682
50,prod23,cust18,261737.0879120879
51,prod23,cust19,352223.99725274724
52,prod23,cust2,1331967.2252747251
53,prod23,cust20,113887.01923076922
54,prod23,cust21,608.6675824175824
55,prod23,cust22,60227.00549450549
56,prod23,cust23,15137.472527472528
57,prod23,cust24,20474.093406593405
58,prod23,cust25,14006.373626373625
59,prod23,cust26,2200.0274725274726
60,prod23,cust27,4077.1703296703295
61,prod23,cust28,35183.392857142855
62,prod23,cust29,394.0796703296703
63,prod23,cust3,296417.1016483515
64,prod23,cust30,30151.60714285714
65,prod23,cust31,1876.14010989011
66,prod23,cust32,1128.0906593406594
67,prod23,cust33,5538.173076923077
68,prod23,cust34,79197.98076923078
69,prod23,cust35,6894.89010989011
70,prod23,cust36,483123.6263736264
71,prod23,cust37,71200.06868131869
72,prod23,cust38,956075.3846153845
73,prod23,cust39,12119.203296703296
74,prod23,cust4,506309.14835164836
75,prod23,cust5,139025.89285714284
76,prod23,cust6,411772.1428571429
77,prod23,cust7,1745596.4560439554
78,prod23,cust8,499774.2445054945
79,prod23,cust9,759515.8653846156
80,prod26,cust0,612968.3653846154
81,prod26,cust1,692171.3598901097
82,prod26,cust10,1007570.467032967
83,prod26,cust11,916097.8571428573
84,prod26,cust12,104089.17582417582
85,prod26,cust13,110416.510989011
86,prod26,cust14,995912.5274725272
87,prod26,cust15,204792.07417582418
88,prod26,cust16,110216.96428571428
89,prod26,cust17,12384.93131868132
90,prod26,cust18,329316.2362637363
91,prod26,cust19,443161.1401098901
92,prod26,cust2,1677069.7115384615
93,prod26,cust20,143578.36538461538
94,prod26,cust21,770.1098901098901
95,prod26,cust22,75710.42582417584
96,prod26,cust23,19167.513736263732
97,prod26,cust24,25888.928571428572
98,prod26,cust25,17671.414835164836
99,prod26,cust26,2843.7912087912086
100,prod26,cust27,5158.131868131868
101,prod26,cust28,44575.12362637363
102,prod26,cust29,512.4038461538462
103,prod26,cust3,373350.87912087905
104,prod26,cust30,38019.16208791209
105,prod26,cust31,2390.5494505494507
106,prod26,cust32,1415.8791208791208
107,prod26,cust33,6957.06043956044
108,prod26,cust34,99696.1401098901
109,prod26,cust35,8758.997252747253
110,prod26,cust36,607199.5604395604
111,prod26,cust37,89888.26923076922
112,prod26,cust38,1201369.423076923
113,prod26,cust39,15244.766483516483
114,prod26,cust4,637145.6043956045
115,prod26,cust5,175001.45604395604
116,prod26,cust6,518533.6401098901
117,prod26,cust7,2195460.96153846
118,prod26,cust8,628323.434065934
119,prod26,cust9,956013.2142857141
120,prod28,cust0,400542.37637362647
121,prod28,cust1,452602.0054945054
122,prod28,cust10,659890.9203296702
123,prod28,cust11,600821.0851648351
124,prod28,cust12,68095.56318681317
125,prod28,cust13,72175.74175824175
126,prod28,cust14,651618.2554945055
127,prod28,cust15,133802.5824175824
128,prod28,cust16,71621.22252747252
129,prod28,cust17,7904.656593406594
130,prod28,cust18,215458.29670329674
131,prod28,cust19,290041.6346153847
132,prod28,cust2,1095480.3159340655
133,prod28,cust20,93504.17582417585
134,prod28,cust21,476.30494505494505
135,prod28,cust22,49392.32142857142
136,prod28,cust23,12421.030219780221
137,prod28,cust24,16754.903846153848
138,prod28,cust25,11536.607142857143
139,prod28,cust26,1836.0302197802198
140,prod28,cust27,3338.1456043956046
141,prod28,cust28,28891.153846153848
142,prod28,cust29,338.92857142857144
143,prod28,cust3,243848.0769230769
144,prod28,cust30,24677.609890109892
145,prod28,cust31,1538.2142857142858
146,prod28,cust32,917.5137362637363
147,prod28,cust33,4520.384615384615
148,prod28,cust34,65195.61813186813
149,prod28,cust35,5676.552197802198
150,prod28,cust36,397894.1208791209
151,prod28,cust37,58476.208791208795
