,plnt,prod,ub,lead_time
0,Osaka,prod68,15051011.648351649,1
1,Osaka,prod79,12787047.005494505,1
2,Osaka,prod29,47809189.07967033,1
3,Osaka,prod81,16846004.43681319,1
4,Osaka,prod74,16498926.538461534,1
5,Osaka,prod23,12006722.129120884,1
6,Osaka,prod26,15106812.52747253,1
7,Osaka,prod54,14725752.527472522,1
8,Osaka,prod51,37715419.917582415,1
9,Osaka,prod89,11728216.098901099,1
10,Osaka,prod34,13838009.3543956,1
11,Osaka,prod1,17992606.813186813,1
12,Chiba,prod28,9882443.186813185,1
13,Chiba,prod48,19728794.491758242,1
14,Chiba,prod98,44025398.530219786,1
15,Chiba,prod71,19526927.431318678,1
16,Chiba,prod63,11496484.217032967,1
17,Chiba,prod46,94679578.10439563,1
18,Chiba,prod39,11400976.552197801,1
19,Chiba,prod60,9297269.972527472,1
20,Chiba,prod91,65960346.277472526,1
21,Chiba,prod73,10123521.675824178,1
22,Chiba,prod44,40122423.4478022,1
23,Chiba,prod43,48621925.75549451,1
24,Odawara,prod68,15051011.648351649,1
25,Odawara,prod79,12787047.005494505,1
26,Odawara,prod29,47809189.07967033,1
27,Odawara,prod81,16846004.43681319,1
28,Odawara,prod74,16498926.538461534,1
29,Odawara,prod23,12006722.129120884,1
30,Odawara,prod26,15106812.52747253,1
31,Odawara,prod54,14725752.527472522,1
32,Odawara,prod51,37715419.917582415,1
33,Odawara,prod89,11728216.098901099,1
34,Odawara,prod34,13838009.3543956,1
35,Odawara,prod1,17992606.813186813,1
36,Odawara,prod28,9882443.186813185,1
37,Odawara,prod48,19728794.491758242,1
38,Odawara,prod98,44025398.530219786,1
39,Odawara,prod71,19526927.431318678,1
40,Odawara,prod63,11496484.217032967,1
41,Odawara,prod46,94679578.10439563,1
42,Odawara,prod39,11400976.552197801,1
43,Odawara,prod60,9297269.972527472,1
44,Odawara,prod91,65960346.277472526,1
45,Odawara,prod73,10123521.675824178,1
46,Odawara,prod44,40122423.4478022,1
47,Odawara,prod43,48621925.75549451,1
