index,date,cust,prod,demand,sales
0,2019-01-01,札幌市,A,10,10
1,2019-01-01,札幌市,B,10,10
2,2019-01-01,札幌市,C,3,3
3,2019-01-01,札幌市,D,0,0
4,2019-01-01,札幌市,E,37,37
5,2019-01-01,札幌市,F,6,6
6,2019-01-01,札幌市,G,6,6
7,2019-01-01,札幌市,H,18,18
8,2019-01-01,札幌市,I,1,1
9,2019-01-01,札幌市,J,26,26
10,2019-01-01,青森市,A,27,27
11,2019-01-01,青森市,B,25,25
12,2019-01-01,青森市,C,10,10
13,2019-01-01,青森市,D,1,1
14,2019-01-01,青森市,E,113,113
15,2019-01-01,青森市,F,18,18
16,2019-01-01,青森市,G,24,24
17,2019-01-01,青森市,H,61,61
18,2019-01-01,青森市,I,4,4
19,2019-01-01,青森市,J,78,78
20,2019-01-01,盛岡市,A,1,1
21,2019-01-01,盛岡市,B,0,0
22,2019-01-01,盛岡市,C,0,0
23,2019-01-01,盛岡市,D,0,0
24,2019-01-01,盛岡市,E,0,0
25,2019-01-01,盛岡市,F,1,1
26,2019-01-01,盛岡市,G,0,0
27,2019-01-01,盛岡市,H,0,0
28,2019-01-01,盛岡市,I,0,0
29,2019-01-01,盛岡市,J,0,0
30,2019-01-01,仙台市,A,5,5
31,2019-01-01,仙台市,B,6,6
32,2019-01-01,仙台市,C,2,2
33,2019-01-01,仙台市,D,1,1
34,2019-01-01,仙台市,E,24,24
35,2019-01-01,仙台市,F,3,3
36,2019-01-01,仙台市,G,5,5
37,2019-01-01,仙台市,H,11,11
38,2019-01-01,仙台市,I,0,0
39,2019-01-01,仙台市,J,16,16
40,2019-01-01,秋田市,A,4,4
41,2019-01-01,秋田市,B,2,2
42,2019-01-01,秋田市,C,1,1
43,2019-01-01,秋田市,D,0,0
44,2019-01-01,秋田市,E,9,9
45,2019-01-01,秋田市,F,0,0
46,2019-01-01,秋田市,G,3,3
47,2019-01-01,秋田市,H,4,4
48,2019-01-01,秋田市,I,1,1
49,2019-01-01,秋田市,J,5,5
50,2019-01-01,山形市,A,0,0
51,2019-01-01,山形市,B,2,2
52,2019-01-01,山形市,C,1,1
53,2019-01-01,山形市,D,0,0
54,2019-01-01,山形市,E,4,4
55,2019-01-01,山形市,F,0,0
56,2019-01-01,山形市,G,1,1
57,2019-01-01,山形市,H,3,3
58,2019-01-01,山形市,I,0,0
59,2019-01-01,山形市,J,3,3
60,2019-01-01,福島市,A,3,3
61,2019-01-01,福島市,B,4,4
62,2019-01-01,福島市,C,0,0
63,2019-01-01,福島市,D,0,0
64,2019-01-01,福島市,E,12,12
65,2019-01-01,福島市,F,2,2
66,2019-01-01,福島市,G,1,1
67,2019-01-01,福島市,H,6,6
68,2019-01-01,福島市,I,0,0
69,2019-01-01,福島市,J,8,8
70,2019-01-01,水戸市,A,6,6
71,2019-01-01,水戸市,B,6,6
72,2019-01-01,水戸市,C,4,4
73,2019-01-01,水戸市,D,0,0
74,2019-01-01,水戸市,E,30,30
75,2019-01-01,水戸市,F,4,4
76,2019-01-01,水戸市,G,5,5
77,2019-01-01,水戸市,H,15,15
78,2019-01-01,水戸市,I,0,0
79,2019-01-01,水戸市,J,19,19
80,2019-01-01,宇都宮市,A,8,8
81,2019-01-01,宇都宮市,B,6,6
82,2019-01-01,宇都宮市,C,3,3
83,2019-01-01,宇都宮市,D,0,0
84,2019-01-01,宇都宮市,E,33,33
85,2019-01-01,宇都宮市,F,5,5
86,2019-01-01,宇都宮市,G,6,6
87,2019-01-01,宇都宮市,H,17,17
88,2019-01-01,宇都宮市,I,1,1
89,2019-01-01,宇都宮市,J,25,25
90,2019-01-01,前橋市,A,14,14
91,2019-01-01,前橋市,B,13,13
92,2019-01-01,前橋市,C,5,5
93,2019-01-01,前橋市,D,0,0
94,2019-01-01,前橋市,E,60,60
95,2019-01-01,前橋市,F,8,8
96,2019-01-01,前橋市,G,12,12
97,2019-01-01,前橋市,H,29,29
98,2019-01-01,前橋市,I,1,1
99,2019-01-01,前橋市,J,40,40
100,2019-01-01,さいたま市,A,11,11
101,2019-01-01,さいたま市,B,9,9
102,2019-01-01,さいたま市,C,2,2
103,2019-01-01,さいたま市,D,0,0
104,2019-01-01,さいたま市,E,37,37
105,2019-01-01,さいたま市,F,5,5
106,2019-01-01,さいたま市,G,7,7
107,2019-01-01,さいたま市,H,20,20
108,2019-01-01,さいたま市,I,0,0
109,2019-01-01,さいたま市,J,26,26
110,2019-01-01,千葉市,A,22,22
111,2019-01-01,千葉市,B,22,22
112,2019-01-01,千葉市,C,9,9
