,date,cust,prod,promo_0,promo_1,demand
0,2019-01-01,札幌市,A,0,0,0
1,2019-01-01,札幌市,B,0,0,1
2,2019-01-01,札幌市,C,0,0,0
3,2019-01-01,青森市,A,0,0,2
4,2019-01-01,青森市,B,0,0,14
5,2019-01-01,青森市,C,0,0,1
6,2019-01-01,盛岡市,A,0,0,11
7,2019-01-01,盛岡市,B,0,0,54
8,2019-01-01,盛岡市,C,0,0,10
9,2019-01-01,仙台市,A,0,0,13
10,2019-01-01,仙台市,B,0,0,65
11,2019-01-01,仙台市,C,0,0,14
12,2019-01-01,秋田市,A,0,0,6
13,2019-01-01,秋田市,B,0,0,36
14,2019-01-01,秋田市,C,0,0,6
15,2019-01-01,山形市,A,0,0,8
16,2019-01-01,山形市,B,0,0,37
17,2019-01-01,山形市,C,0,0,6
18,2019-01-01,福島市,A,0,0,73
19,2019-01-01,福島市,B,0,0,340
20,2019-01-01,福島市,C,0,0,69
21,2019-01-01,水戸市,A,0,0,8
22,2019-01-01,水戸市,B,0,0,36
23,2019-01-01,水戸市,C,0,0,7
24,2019-01-01,宇都宮市,A,0,0,41
25,2019-01-01,宇都宮市,B,0,0,186
26,2019-01-01,宇都宮市,C,0,0,37
27,2019-01-01,前橋市,A,0,0,76
28,2019-01-01,前橋市,B,0,0,349
29,2019-01-01,前橋市,C,0,0,70
30,2019-01-02,札幌市,A,1,0,2
31,2019-01-02,札幌市,B,1,0,2
32,2019-01-02,札幌市,C,1,0,0
33,2019-01-02,青森市,A,1,0,2
34,2019-01-02,青森市,B,1,0,16
35,2019-01-02,青森市,C,1,0,4
36,2019-01-02,盛岡市,A,1,0,22
37,2019-01-02,盛岡市,B,1,0,92
38,2019-01-02,盛岡市,C,1,0,18
39,2019-01-02,仙台市,A,1,0,19
40,2019-01-02,仙台市,B,1,0,91
41,2019-01-02,仙台市,C,1,0,17
42,2019-01-02,秋田市,A,1,0,14
43,2019-01-02,秋田市,B,1,0,62
44,2019-01-02,秋田市,C,1,0,11
45,2019-01-02,山形市,A,1,0,13
46,2019-01-02,山形市,B,1,0,60
47,2019-01-02,山形市,C,1,0,11
48,2019-01-02,福島市,A,1,0,121
49,2019-01-02,福島市,B,1,0,556
50,2019-01-02,福島市,C,1,0,114
51,2019-01-02,水戸市,A,1,0,12
52,2019-01-02,水戸市,B,1,0,58
53,2019-01-02,水戸市,C,1,0,11
54,2019-01-02,宇都宮市,A,1,0,50
55,2019-01-02,宇都宮市,B,1,0,238
56,2019-01-02,宇都宮市,C,1,0,47
57,2019-01-02,前橋市,A,1,0,92
58,2019-01-02,前橋市,B,1,0,427
59,2019-01-02,前橋市,C,1,0,87
60,2019-01-03,札幌市,A,0,0,0
