,from_node,to_node,prod,flow
0,Plnt_Chiba,DC_山形市,H,317.87
1,Plnt_Odawara,DC_大津市,H,527.4499999999999
2,Plnt_Odawara,DC_札幌市,B,76.21
3,Plnt_Osaka,DC_大津市,A,815.2399999999999
4,Plnt_Odawara,DC_盛岡市,E,436.18999999999994
5,Plnt_Odawara,DC_札幌市,A,66.18
6,Plnt_Odawara,DC_福岡市,F,580.5899999999999
7,Plnt_Odawara,DC_高松市,I,455.24999999999994
8,Plnt_Odawara,DC_宮崎市,F,418.14
9,Plnt_Chiba,DC_山形市,I,262.73
10,Plnt_Chiba,DC_盛岡市,H,212.57999999999998
11,Plnt_Odawara,DC_山形市,B,312.85
12,Plnt_Chiba,DC_盛岡市,G,431.19
13,Plnt_Osaka,DC_高松市,D,448.22999999999996
14,Plnt_Odawara,DC_宮崎市,H,141.39
15,Plnt_Odawara,DC_福岡市,H,203.55999999999997
16,Plnt_Chiba,DC_山形市,J,253.69000000000003
17,Plnt_Chiba,DC_札幌市,G,74.2
18,Plnt_Chiba,DC_盛岡市,F,865.38
19,Plnt_Osaka,DC_高松市,A,556.5099999999999
20,Plnt_Odawara,DC_高松市,F,1554.25
21,Plnt_Osaka,DC_宮崎市,B,163.45
22,Plnt_Chiba,DC_盛岡市,I,218.60000000000002
23,Plnt_Osaka,DC_岐阜市,B,384.04999999999995
24,Plnt_Odawara,DC_高松市,H,407.12
25,Plnt_Odawara,DC_高松市,G,768.1099999999999
26,Plnt_Odawara,DC_さいたま市,E,801.2099999999999
27,Plnt_Odawara,DC_宮崎市,J,149.41
28,Plnt_Osaka,DC_高松市,E,901.48
29,Plnt_Odawara,DC_札幌市,C,162.45
30,Plnt_Odawara,DC_福岡市,J,227.63
31,Plnt_Odawara,DC_盛岡市,B,244.67
32,Plnt_Osaka,DC_岐阜市,C,3647.9900000000002
33,Plnt_Osaka,DC_大津市,C,5772.8
34,Plnt_Odawara,DC_岐阜市,J,370.02000000000004
35,Plnt_Osaka,DC_福岡市,B,224.61
36,Plnt_Chiba,DC_さいたま市,G,770.0999999999999
37,Plnt_Chiba,DC_さいたま市,H,693.9100000000001
38,Plnt_Osaka,DC_熊本市,A,295.80999999999995
39,Plnt_Chiba,DC_大津市,F,837.94
40,Plnt_Odawara,DC_福岡市,G,342.94999999999993
41,Plnt_Odawara,DC_宮崎市,G,195.53
42,Plnt_Odawara,DC_岐阜市,I,325.89
43,Plnt_Odawara,DC_岐阜市,H,366.00000000000006
44,Plnt_Chiba,DC_さいたま市,F,1024.82
45,Plnt_Osaka,DC_熊本市,D,218.60999999999999
46,Plnt_Odawara,DC_大津市,J,482.33
47,Plnt_Odawara,DC_札幌市,E,76.21
48,Plnt_Osaka,DC_熊本市,B,238.65999999999997
49,Plnt_Odawara,DC_宮崎市,I,145.39999999999998
50,Plnt_Odawara,DC_福岡市,I,219.61
51,Plnt_Chiba,DC_さいたま市,I,666.84
52,Plnt_Osaka,DC_福岡市,D,226.63
53,Plnt_Odawara,DC_盛岡市,C,2157.92
54,Plnt_Odawara,DC_熊本市,H,226.61999999999998
55,Plnt_Odawara,DC_盛岡市,D,211.58000000000004
56,Plnt_Odawara,DC_熊本市,F,844.3100000000001
57,Plnt_Odawara,DC_熊本市,J,207.55999999999995
58,Plnt_Odawara,DC_山形市,A,351.96999999999997
59,Plnt_Osaka,DC_宮崎市,D,134.35999999999999
60,Plnt_Odawara,DC_熊本市,I,236.64999999999998
61,Plnt_Osaka,DC_岐阜市,D,368.99999999999994
62,Plnt_Chiba,DC_札幌市,J,70.19
63,Plnt_Osaka,DC_岐阜市,E,828.2700000000001
64,Plnt_Odawara,DC_山形市,E,437.19
65,Plnt_Osaka,DC_宮崎市,E,228.62
66,Plnt_Osaka,DC_大津市,E,1360.74
67,Plnt_Osaka,DC_高松市,C,3390.2999999999993
68,Plnt_Chiba,DC_札幌市,I,71.2
69,Plnt_Osaka,DC_福岡市,C,1493.1
70,Plnt_Odawara,DC_熊本市,G,355.97999999999996
71,Plnt_Osaka,DC_高松市,B,511.4
72,Plnt_Osaka,DC_熊本市,E,450.22999999999996
73,Plnt_Chiba,DC_山形市,G,380.04
74,Plnt_Odawara,DC_高松市,J,427.17
75,Plnt_Odawara,DC_山形市,D,317.87
76,Plnt_Osaka,DC_宮崎市,A,166.45
77,Plnt_Odawara,DC_山形市,C,1308.58
78,Plnt_Osaka,DC_福岡市,E,351.96999999999997
79,Plnt_Osaka,DC_岐阜市,A,531.4499999999999
80,Plnt_Odawara,DC_札幌市,D,83.23
81,Plnt_Chiba,DC_札幌市,F,93.26
82,Plnt_Osaka,DC_宮崎市,C,884.4199999999998
83,Plnt_Odawara,DC_さいたま市,A,750.0600000000002
84,Plnt_Odawara,DC_盛岡市,A,293.8
85,Plnt_Osaka,DC_大津市,D,520.4399999999999
86,Plnt_Odawara,DC_大津市,I,533.46
87,Plnt_Osaka,DC_福岡市,A,255.70999999999998
88,Plnt_Chiba,DC_盛岡市,J,194.53
89,Plnt_Odawara,DC_さいたま市,D,687.87
90,Plnt_Chiba,DC_さいたま市,J,653.78
91,Plnt_Odawara,DC_大津市,F,1591.7099999999998
92,Plnt_Odawara,DC_さいたま市,B,669.8500000000001
93,Plnt_Chiba,DC_札幌市,H,49.13
94,Plnt_Odawara,DC_岐阜市,G,761.0900000000001
95,Plnt_Osaka,DC_熊本市,C,2073.6799999999994
96,Plnt_Chiba,DC_山形市,F,595.63
97,Plnt_Chiba,DC_岐阜市,F,1482.06
98,Plnt_Osaka,DC_大津市,B,655.8
99,Plnt_Odawara,DC_さいたま市,C,1806.94
100,Plnt_Odawara,DC_大津市,G,1199.29
101,DC_札幌市,Cust_札幌市,A,66.18
102,DC_札幌市,Cust_札幌市,B,76.21
103,DC_札幌市,Cust_札幌市,C,162.45
104,DC_札幌市,Cust_札幌市,D,83.23
105,DC_札幌市,Cust_札幌市,E,76.21
106,DC_札幌市,Cust_札幌市,F,93.26
107,DC_札幌市,Cust_札幌市,G,74.2
108,DC_札幌市,Cust_札幌市,H,49.13
109,DC_札幌市,Cust_札幌市,I,71.2
110,DC_札幌市,Cust_札幌市,J,70.19
111,DC_盛岡市,Cust_青森市,A,67.18
112,DC_盛岡市,Cust_青森市,B,59.16
113,DC_盛岡市,Cust_青森市,C,82.23
114,DC_盛岡市,Cust_青森市,D,82.23
115,DC_盛岡市,Cust_青森市,E,79.22
116,DC_盛岡市,Cust_青森市,F,54.15
117,DC_盛岡市,Cust_青森市,G,69.19
118,DC_盛岡市,Cust_青森市,H,77.21
119,DC_盛岡市,Cust_青森市,I,65.18
120,DC_盛岡市,Cust_青森市,J,64.18
121,DC_盛岡市,Cust_盛岡市,A,151.41
122,DC_盛岡市,Cust_盛岡市,B,98.27
123,DC_盛岡市,Cust_盛岡市,C,1582.34
124,DC_盛岡市,Cust_盛岡市,D,66.18
125,DC_盛岡市,Cust_盛岡市,E,256.7
126,DC_盛岡市,Cust_盛岡市,F,629.73
127,DC_盛岡市,Cust_盛岡市,G,246.68
128,DC_盛岡市,Cust_盛岡市,H,72.2
129,DC_盛岡市,Cust_盛岡市,I,70.19
130,DC_盛岡市,Cust_盛岡市,J,74.2
131,DC_山形市,Cust_仙台市,A,101.28
132,DC_山形市,Cust_仙台市,B,89.24
133,DC_山形市,Cust_仙台市,C,516.41
134,DC_山形市,Cust_仙台市,D,79.22
135,DC_山形市,Cust_仙台市,E,105.29
136,DC_山形市,Cust_仙台市,F,213.59
137,DC_山形市,Cust_仙台市,G,117.32
138,DC_山形市,Cust_仙台市,H,94.26
139,DC_山形市,Cust_仙台市,I,46.13
140,DC_山形市,Cust_仙台市,J,67.18
141,DC_盛岡市,Cust_秋田市,A,75.21
142,DC_盛岡市,Cust_秋田市,B,87.24
143,DC_盛岡市,Cust_秋田市,C,493.35
144,DC_盛岡市,Cust_秋田市,D,63.17
145,DC_盛岡市,Cust_秋田市,E,100.27
146,DC_盛岡市,Cust_秋田市,F,181.5
147,DC_盛岡市,Cust_秋田市,G,115.32
148,DC_盛岡市,Cust_秋田市,H,63.17
149,DC_盛岡市,Cust_秋田市,I,83.23
150,DC_盛岡市,Cust_秋田市,J,56.15
151,DC_山形市,Cust_山形市,A,101.28
152,DC_山形市,Cust_山形市,B,62.17
153,DC_山形市,Cust_山形市,C,274.75
154,DC_山形市,Cust_山形市,D,80.22
155,DC_山形市,Cust_山形市,E,113.31
156,DC_山形市,Cust_山形市,F,128.35
157,DC_山形市,Cust_山形市,G,83.23
158,DC_山形市,Cust_山形市,H,85.23
159,DC_山形市,Cust_山形市,I,69.19
160,DC_山形市,Cust_山形市,J,54.15
161,DC_山形市,Cust_福島市,A,73.2
162,DC_山形市,Cust_福島市,B,74.2
163,DC_山形市,Cust_福島市,C,299.82
164,DC_山形市,Cust_福島市,D,74.2
165,DC_山形市,Cust_福島市,E,118.32
166,DC_山形市,Cust_福島市,F,146.4
167,DC_山形市,Cust_福島市,G,106.29
168,DC_山形市,Cust_福島市,H,64.18
169,DC_山形市,Cust_福島市,I,79.22
170,DC_山形市,Cust_福島市,J,66.18
171,DC_さいたま市,Cust_水戸市,A,69.19
172,DC_さいたま市,Cust_水戸市,B,68.19
173,DC_さいたま市,Cust_水戸市,C,84.23
174,DC_さいたま市,Cust_水戸市,D,66.18
175,DC_さいたま市,Cust_水戸市,E,61.17
176,DC_さいたま市,Cust_水戸市,F,83.23
177,DC_さいたま市,Cust_水戸市,G,72.2
178,DC_さいたま市,Cust_水戸市,H,73.2
179,DC_さいたま市,Cust_水戸市,I,65.18
180,DC_さいたま市,Cust_水戸市,J,59.16
181,DC_さいたま市,Cust_宇都宮市,A,74.2
182,DC_さいたま市,Cust_宇都宮市,B,68.19
183,DC_さいたま市,Cust_宇都宮市,C,112.31
184,DC_さいたま市,Cust_宇都宮市,D,67.18
185,DC_さいたま市,Cust_宇都宮市,E,79.22
186,DC_さいたま市,Cust_宇都宮市,F,90.25
187,DC_さいたま市,Cust_宇都宮市,G,78.21
188,DC_さいたま市,Cust_宇都宮市,H,75.21
189,DC_さいたま市,Cust_宇都宮市,I,87.24
190,DC_さいたま市,Cust_宇都宮市,J,60.16
191,DC_さいたま市,Cust_前橋市,A,66.18
192,DC_さいたま市,Cust_前橋市,B,65.18
193,DC_さいたま市,Cust_前橋市,C,281.77
194,DC_さいたま市,Cust_前橋市,D,73.2
195,DC_さいたま市,Cust_前橋市,E,95.26
196,DC_さいたま市,Cust_前橋市,F,133.37
197,DC_さいたま市,Cust_前橋市,G,86.24
198,DC_さいたま市,Cust_前橋市,H,70.19
199,DC_さいたま市,Cust_前橋市,I,71.2
200,DC_さいたま市,Cust_前橋市,J,76.21
201,DC_さいたま市,Cust_さいたま市,A,69.19
202,DC_さいたま市,Cust_さいたま市,B,74.2
203,DC_さいたま市,Cust_さいたま市,C,157.43
204,DC_さいたま市,Cust_さいたま市,D,55.15
205,DC_さいたま市,Cust_さいたま市,E,91.25
206,DC_さいたま市,Cust_さいたま市,F,88.24
207,DC_さいたま市,Cust_さいたま市,G,79.22
208,DC_さいたま市,Cust_さいたま市,H,65.18
209,DC_さいたま市,Cust_さいたま市,I,80.22
210,DC_さいたま市,Cust_さいたま市,J,70.19
211,DC_さいたま市,Cust_千葉市,A,90.25
212,DC_さいたま市,Cust_千葉市,B,62.17
213,DC_さいたま市,Cust_千葉市,C,331.91
214,DC_さいたま市,Cust_千葉市,D,70.19
215,DC_さいたま市,Cust_千葉市,E,76.21
216,DC_さいたま市,Cust_千葉市,F,146.4
217,DC_さいたま市,Cust_千葉市,G,96.26
218,DC_さいたま市,Cust_千葉市,H,76.21
219,DC_さいたま市,Cust_千葉市,I,57.16
220,DC_さいたま市,Cust_千葉市,J,62.17
221,DC_さいたま市,Cust_新宿区,A,71.2
222,DC_さいたま市,Cust_新宿区,B,69.19
223,DC_さいたま市,Cust_新宿区,C,91.25
224,DC_さいたま市,Cust_新宿区,D,69.19
225,DC_さいたま市,Cust_新宿区,E,53.15
226,DC_さいたま市,Cust_新宿区,F,88.24
227,DC_さいたま市,Cust_新宿区,G,66.18
228,DC_さいたま市,Cust_新宿区,H,58.16
229,DC_さいたま市,Cust_新宿区,I,57.16
230,DC_さいたま市,Cust_新宿区,J,77.21
231,DC_さいたま市,Cust_横浜市,A,92.25
232,DC_さいたま市,Cust_横浜市,B,58.16
233,DC_さいたま市,Cust_横浜市,C,161.44
234,DC_さいたま市,Cust_横浜市,D,80.22
235,DC_さいたま市,Cust_横浜市,E,86.24
236,DC_さいたま市,Cust_横浜市,F,82.23
237,DC_さいたま市,Cust_横浜市,G,56.15
238,DC_さいたま市,Cust_横浜市,H,66.18
239,DC_さいたま市,Cust_横浜市,I,52.14
240,DC_さいたま市,Cust_横浜市,J,67.18
241,DC_山形市,Cust_新潟市,A,76.21
242,DC_山形市,Cust_新潟市,B,87.24
243,DC_山形市,Cust_新潟市,C,217.6
244,DC_山形市,Cust_新潟市,D,84.23
245,DC_山形市,Cust_新潟市,E,100.27
246,DC_山形市,Cust_新潟市,F,107.29
247,DC_山形市,Cust_新潟市,G,73.2
248,DC_山形市,Cust_新潟市,H,74.2
249,DC_山形市,Cust_新潟市,I,68.19
250,DC_山形市,Cust_新潟市,J,66.18
251,DC_岐阜市,Cust_富山市,A,81.22
252,DC_岐阜市,Cust_富山市,B,59.16
253,DC_岐阜市,Cust_富山市,C,132.36
254,DC_岐阜市,Cust_富山市,D,77.21
255,DC_岐阜市,Cust_富山市,E,72.2
256,DC_岐阜市,Cust_富山市,F,91.25
257,DC_岐阜市,Cust_富山市,G,67.18
258,DC_岐阜市,Cust_富山市,H,64.18
259,DC_岐阜市,Cust_富山市,I,54.15
260,DC_岐阜市,Cust_富山市,J,85.23
261,DC_岐阜市,Cust_金沢市,A,67.18
262,DC_岐阜市,Cust_金沢市,B,76.21
263,DC_岐阜市,Cust_金沢市,C,73.2
264,DC_岐阜市,Cust_金沢市,D,60.16
265,DC_岐阜市,Cust_金沢市,E,79.22
266,DC_岐阜市,Cust_金沢市,F,71.2
267,DC_岐阜市,Cust_金沢市,G,65.18
268,DC_岐阜市,Cust_金沢市,H,63.17
269,DC_岐阜市,Cust_金沢市,I,65.18
270,DC_岐阜市,Cust_金沢市,J,69.19
271,DC_岐阜市,Cust_福井市,A,77.21
272,DC_岐阜市,Cust_福井市,B,50.14
273,DC_岐阜市,Cust_福井市,C,147.4
274,DC_岐阜市,Cust_福井市,D,67.18
275,DC_岐阜市,Cust_福井市,E,81.22
276,DC_岐阜市,Cust_福井市,F,72.2
277,DC_岐阜市,Cust_福井市,G,90.25
278,DC_岐阜市,Cust_福井市,H,63.17
279,DC_岐阜市,Cust_福井市,I,49.13
280,DC_岐阜市,Cust_福井市,J,61.17
281,DC_さいたま市,Cust_甲府市,A,61.17
282,DC_さいたま市,Cust_甲府市,B,61.17
283,DC_さいたま市,Cust_甲府市,C,164.45
284,DC_さいたま市,Cust_甲府市,D,63.17
285,DC_さいたま市,Cust_甲府市,E,80.22
286,DC_さいたま市,Cust_甲府市,F,98.27
287,DC_さいたま市,Cust_甲府市,G,70.19
288,DC_さいたま市,Cust_甲府市,H,66.18
289,DC_さいたま市,Cust_甲府市,I,64.18
290,DC_さいたま市,Cust_甲府市,J,58.16
291,DC_さいたま市,Cust_長野市,A,81.22
292,DC_さいたま市,Cust_長野市,B,79.22
293,DC_さいたま市,Cust_長野市,C,325.89
294,DC_さいたま市,Cust_長野市,D,81.22
295,DC_さいたま市,Cust_長野市,E,88.24
296,DC_さいたま市,Cust_長野市,F,137.38
297,DC_さいたま市,Cust_長野市,G,98.27
298,DC_さいたま市,Cust_長野市,H,72.2
299,DC_さいたま市,Cust_長野市,I,66.18
300,DC_さいたま市,Cust_長野市,J,71.2
301,DC_岐阜市,Cust_岐阜市,A,219.6
302,DC_岐阜市,Cust_岐阜市,B,117.32
303,DC_岐阜市,Cust_岐阜市,C,2540.96
304,DC_岐阜市,Cust_岐阜市,D,83.23
305,DC_岐阜市,Cust_岐阜市,E,439.2
306,DC_岐阜市,Cust_岐阜市,F,972.66
307,DC_岐阜市,Cust_岐阜市,G,389.07
308,DC_岐阜市,Cust_岐阜市,H,105.29
309,DC_岐阜市,Cust_岐阜市,I,85.23
310,DC_岐阜市,Cust_岐阜市,J,83.23
311,DC_さいたま市,Cust_静岡市,A,75.21
312,DC_さいたま市,Cust_静岡市,B,64.18
313,DC_さいたま市,Cust_静岡市,C,96.26
314,DC_さいたま市,Cust_静岡市,D,62.17
315,DC_さいたま市,Cust_静岡市,E,90.25
316,DC_さいたま市,Cust_静岡市,F,77.21
317,DC_さいたま市,Cust_静岡市,G,67.18
318,DC_さいたま市,Cust_静岡市,H,71.2
319,DC_さいたま市,Cust_静岡市,I,66.18
320,DC_さいたま市,Cust_静岡市,J,52.14
321,DC_岐阜市,Cust_名古屋市,A,86.24
322,DC_岐阜市,Cust_名古屋市,B,81.22
323,DC_岐阜市,Cust_名古屋市,C,754.07
324,DC_岐阜市,Cust_名古屋市,D,81.22
325,DC_岐阜市,Cust_名古屋市,E,156.43
326,DC_岐阜市,Cust_名古屋市,F,274.75
327,DC_岐阜市,Cust_名古屋市,G,149.41
328,DC_岐阜市,Cust_名古屋市,H,70.19
329,DC_岐阜市,Cust_名古屋市,I,72.2
330,DC_岐阜市,Cust_名古屋市,J,71.2
331,DC_大津市,Cust_津市,A,71.2
332,DC_大津市,Cust_津市,B,70.19
333,DC_大津市,Cust_津市,C,81.22
334,DC_大津市,Cust_津市,D,71.2
335,DC_大津市,Cust_津市,E,54.15
336,DC_大津市,Cust_津市,F,63.17
337,DC_大津市,Cust_津市,G,87.24
338,DC_大津市,Cust_津市,H,65.18
339,DC_大津市,Cust_津市,I,67.18
340,DC_大津市,Cust_津市,J,61.17
341,DC_大津市,Cust_大津市,A,292.8
342,DC_大津市,Cust_大津市,B,184.51
343,DC_大津市,Cust_大津市,C,3833.5
344,DC_大津市,Cust_大津市,D,99.27
345,DC_大津市,Cust_大津市,E,754.07
346,DC_大津市,Cust_大津市,F,1566.29
347,DC_大津市,Cust_大津市,G,618.7
348,DC_大津市,Cust_大津市,H,115.32
349,DC_大津市,Cust_大津市,I,140.38
350,DC_大津市,Cust_大津市,J,97.27
351,DC_大津市,Cust_京都市,A,94.26
352,DC_大津市,Cust_京都市,B,89.24
353,DC_大津市,Cust_京都市,C,501.37
354,DC_大津市,Cust_京都市,D,65.18
355,DC_大津市,Cust_京都市,E,128.35
356,DC_大津市,Cust_京都市,F,219.6
357,DC_大津市,Cust_京都市,G,124.34
358,DC_大津市,Cust_京都市,H,72.2
359,DC_大津市,Cust_京都市,I,64.18
360,DC_大津市,Cust_京都市,J,61.17
361,DC_大津市,Cust_大阪市,A,84.23
362,DC_大津市,Cust_大阪市,B,69.19
363,DC_大津市,Cust_大阪市,C,103.28
364,DC_大津市,Cust_大阪市,D,60.16
365,DC_大津市,Cust_大阪市,E,68.19
366,DC_大津市,Cust_大阪市,F,72.2
367,DC_大津市,Cust_大阪市,G,74.2
368,DC_大津市,Cust_大阪市,H,74.2
369,DC_大津市,Cust_大阪市,I,53.15
370,DC_大津市,Cust_大阪市,J,67.18
371,DC_大津市,Cust_神戸市,A,108.3
372,DC_大津市,Cust_神戸市,B,95.26
373,DC_大津市,Cust_神戸市,C,681.87
374,DC_大津市,Cust_神戸市,D,82.23
375,DC_大津市,Cust_神戸市,E,149.41
376,DC_大津市,Cust_神戸市,F,247.68
377,DC_大津市,Cust_神戸市,G,113.31
378,DC_大津市,Cust_神戸市,H,67.18
379,DC_大津市,Cust_神戸市,I,61.17
380,DC_大津市,Cust_神戸市,J,67.18
381,DC_大津市,Cust_奈良市,A,84.23
382,DC_大津市,Cust_奈良市,B,82.23
383,DC_大津市,Cust_奈良市,C,311.85
384,DC_大津市,Cust_奈良市,D,71.2
385,DC_大津市,Cust_奈良市,E,113.31
386,DC_大津市,Cust_奈良市,F,128.35
387,DC_大津市,Cust_奈良市,G,99.27
388,DC_大津市,Cust_奈良市,H,72.2
389,DC_大津市,Cust_奈良市,I,70.19
390,DC_大津市,Cust_奈良市,J,53.15
391,DC_大津市,Cust_和歌山市,A,80.22
392,DC_大津市,Cust_和歌山市,B,65.18
393,DC_大津市,Cust_和歌山市,C,259.71
394,DC_大津市,Cust_和歌山市,D,71.2
395,DC_大津市,Cust_和歌山市,E,93.26
396,DC_大津市,Cust_和歌山市,F,132.36
397,DC_大津市,Cust_和歌山市,G,82.23
398,DC_大津市,Cust_和歌山市,H,61.17
399,DC_大津市,Cust_和歌山市,I,77.21
400,DC_大津市,Cust_和歌山市,J,75.21
401,DC_高松市,Cust_松江市,A,60.16
402,DC_高松市,Cust_松江市,B,67.18
403,DC_高松市,Cust_松江市,C,64.18
404,DC_高松市,Cust_松江市,D,64.18
405,DC_高松市,Cust_松江市,E,71.2
406,DC_高松市,Cust_松江市,F,67.18
407,DC_高松市,Cust_松江市,G,76.21
408,DC_高松市,Cust_松江市,H,63.17
409,DC_高松市,Cust_松江市,I,63.17
410,DC_高松市,Cust_松江市,J,66.18
411,DC_高松市,Cust_岡山市,A,63.17
412,DC_高松市,Cust_岡山市,B,82.23
413,DC_高松市,Cust_岡山市,C,83.23
414,DC_高松市,Cust_岡山市,D,89.24
415,DC_高松市,Cust_岡山市,E,75.21
416,DC_高松市,Cust_岡山市,F,69.19
417,DC_高松市,Cust_岡山市,G,67.18
418,DC_高松市,Cust_岡山市,H,65.18
419,DC_高松市,Cust_岡山市,I,66.18
420,DC_高松市,Cust_岡山市,J,63.17
421,DC_高松市,Cust_広島市,A,89.24
422,DC_高松市,Cust_広島市,B,77.21
423,DC_高松市,Cust_広島市,C,287.79
424,DC_高松市,Cust_広島市,D,69.19
425,DC_高松市,Cust_広島市,E,106.29
426,DC_高松市,Cust_広島市,F,123.34
427,DC_高松市,Cust_広島市,G,97.27
428,DC_高松市,Cust_広島市,H,58.16
429,DC_高松市,Cust_広島市,I,74.2
430,DC_高松市,Cust_広島市,J,61.17
431,DC_福岡市,Cust_山口市,A,72.2
432,DC_福岡市,Cust_山口市,B,61.17
433,DC_福岡市,Cust_山口市,C,90.25
434,DC_福岡市,Cust_山口市,D,65.18
435,DC_福岡市,Cust_山口市,E,68.19
436,DC_福岡市,Cust_山口市,F,50.14
437,DC_福岡市,Cust_山口市,G,75.21
438,DC_福岡市,Cust_山口市,H,52.14
439,DC_福岡市,Cust_山口市,I,69.19
440,DC_福岡市,Cust_山口市,J,72.2
441,DC_高松市,Cust_徳島市,A,73.2
442,DC_高松市,Cust_徳島市,B,82.23
443,DC_高松市,Cust_徳島市,C,137.38
444,DC_高松市,Cust_徳島市,D,65.18
445,DC_高松市,Cust_徳島市,E,72.2
446,DC_高松市,Cust_徳島市,F,111.3
447,DC_高松市,Cust_徳島市,G,69.19
448,DC_高松市,Cust_徳島市,H,66.18
449,DC_高松市,Cust_徳島市,I,75.21
450,DC_高松市,Cust_徳島市,J,72.2
451,DC_高松市,Cust_高松市,A,201.55
452,DC_高松市,Cust_高松市,B,132.36
453,DC_高松市,Cust_高松市,C,2691.37
454,DC_高松市,Cust_高松市,D,101.28
455,DC_高松市,Cust_高松市,E,497.36
456,DC_高松市,Cust_高松市,F,1094.0
457,DC_高松市,Cust_高松市,G,386.06
458,DC_高松市,Cust_高松市,H,90.25
459,DC_高松市,Cust_高松市,I,101.28
460,DC_高松市,Cust_高松市,J,101.28
461,DC_高松市,Cust_松山市,A,69.19
462,DC_高松市,Cust_松山市,B,70.19
463,DC_高松市,Cust_松山市,C,126.35
464,DC_高松市,Cust_松山市,D,59.16
465,DC_高松市,Cust_松山市,E,79.22
466,DC_高松市,Cust_松山市,F,89.24
467,DC_高松市,Cust_松山市,G,72.2
468,DC_高松市,Cust_松山市,H,64.18
469,DC_高松市,Cust_松山市,I,75.21
470,DC_高松市,Cust_松山市,J,63.17
