,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設,2860114,千葉県,成田市,本城,"[140.37645821,35.73859296]"
1,有限会社西之園運輸,2850053,千葉県,佐倉市,下勝田,"[140.26801893,35.69354415]"
2,株式会社村山印刷,2620021,千葉県,千葉市花見川区,花園町,"[140.07757664,35.654959999999996]"
3,青田印刷合同会社,2991902,千葉県,安房郡鋸南町,保田,"[139.85405777,35.14919189]"
4,合同会社山田水産,2820021,千葉県,成田市,駒井野（成田国際空港内）,"[140.36806495,35.77641112]"
5,有限会社吉田食品,2992416,千葉県,南房総市,富浦町青木,"[139.8874225,35.06991256]"
6,有限会社青山鉱業,2700001,千葉県,松戸市,幸田,"[139.92525888,35.84571653]"
7,有限会社喜嶋建設,2720134,千葉県,市川市,入船,"[139.92142527,35.67868735]"
8,有限会社工藤水産,2830048,千葉県,東金市,幸田,"[140.38179168,35.53855767]"
9,津田情報株式会社,2701465,千葉県,柏市,手賀,"[140.07629976,35.83849942]"
10,山岸農林株式会社,2994124,千葉県,茂原市,上太田,"[140.26708607,35.47735481]"
11,浜田保険有限会社,2900504,千葉県,市原市,堀越,"[140.18004553,35.40866766]"
12,野村建設有限会社,2700135,千葉県,流山市,野々下,"[139.94122036,35.85908382]"
13,山岸電気有限会社,2702307,千葉県,印西市,松木,"[140.21531555,35.83114779]"
14,株式会社三宅印刷,2890114,千葉県,成田市,成井,"[140.38157708,35.84552972]"
15,有限会社原田情報,2892704,千葉県,旭市,上永井,"[140.7490122,35.69854444]"
16,有限会社高橋運輸,2891726,千葉県,山武郡横芝光町,木戸,"[140.5315054,35.62974706]"
17,佐々木電気株式会社,2720102,千葉県,市川市,下新宿,"[139.92079542,35.69721919]"
18,合同会社渡辺ガス,2900502,千葉県,市原市,真ケ谷,"[140.16265206,35.40652814]"
19,株式会社高橋保険,2891708,千葉県,山武郡横芝光町,篠本根切,"[140.49405501,35.70070879]"
20,田辺銀行株式会社,2720025,千葉県,市川市,大和田,"[139.91608314,35.71480852]"
21,吉本ガス有限会社,2900024,千葉県,市原市,根田,"[140.10495313,35.50384893]"
22,有限会社吉本水産,2891524,千葉県,山武市,松尾町祝田,"[140.45471366,35.62937635]"
23,宮沢銀行合同会社,2900202,千葉県,市原市,福増,"[140.13983572,35.4751281]"
24,田中ガス有限会社,2970077,千葉県,茂原市,真名,"[140.25628256,35.46536086]"
25,合同会社中島鉱業,2701336,千葉県,印西市,東の原,"[140.17238311,35.79869695]"
26,杉山食品有限会社,2930044,千葉県,富津市,中,"[139.87163654,35.28175695]"
27,渚ガス有限会社,2700106,千葉県,流山市,平方村新田,"[139.88519099,35.90008582]"
28,株式会社加藤ガス,2617135,千葉県,千葉市美浜区,中瀬ワールドビジネスガーデン（３５階）,"[140.0390776,35.64860739]"
29,三宅運輸合同会社,2850037,千葉県,佐倉市,本町,"[140.24395745,35.71899329]"
30,合同会社野村農林,2992865,千葉県,鴨川市,江見太夫崎,"[140.07950103,35.06497742]"
31,株式会社藤本建設,2891328,千葉県,山武市,湯坂,"[140.38137762,35.60708755]"
32,有限会社近藤水産,2701323,千葉県,印西市,木下東,"[140.16676936,35.84112921]"
33,有限会社大垣建設,2740803,千葉県,船橋市,八木が谷町,"[140.04257254,35.76532659]"
