,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設 第 18 支店,897,[72],[137],"[[2944, 11944], [23373, 32373]]","[139.48372896,36.08020962]",0,[0],14
1,有限会社西之園運輸 第 73 支店,1066,[63],[335],"[[461, 9461], [19798, 28798]]","[139.3262383,35.96836517]",1,"[0,1]",13
2,株式会社村山印刷 第 98 支店,615,[91],[172],"[[4565, 13565], [19478, 28478]]","[139.19460618,36.05815305]",2,[0],84
3,青田印刷合同会社 第 9 支店,664,[59],[867],"[[4059, 13059], [18715, 27715]]","[139.66804321,36.09307749]",3,"[0,1]",43
4,合同会社山田水産 第 33 支店,796,[57],[815],"[[6407, 15407], [24221, 33221]]","[139.51107504,35.90863789]",4,"[0,1]",6
5,有限会社吉田食品 第 16 支店,625,[72],[745],"[[2760, 11760], [23195, 32195]]","[139.55317534,35.83156779]",5,"[0,1]",77
6,有限会社青山鉱業 第 64 支店,967,[51],[947],"[[7500, 16500], [19067, 28067]]","[139.28722611,36.08407503]",6,"[0,1]",56
7,有限会社喜嶋建設 第 98 支店,1071,[50],[244],"[[7710, 16710], [21885, 30885]]","[139.71608656,36.04982823]",7,"[0,1]",59
8,有限会社工藤水産 第 58 支店,882,[67],[229],"[[6713, 15713], [25676, 34676]]","[139.62916146,36.09267152]",8,"[0,1]",15
9,津田情報株式会社 第 61 支店,622,[58],[683],"[[96, 9096], [18269, 27269]]","[139.52909476,36.15423679]",9,"[0,1]",24
10,山岸農林株式会社 第 84 支店,726,[74],[849],"[[6423, 15423], [18889, 27889]]","[139.54590055,35.99456815]",10,"[0,1]",9
11,浜田保険有限会社 第 49 支店,879,[63],[608],"[[152, 9152], [21212, 30212]]","[139.36011647,35.79498379]",11,[0],66
12,野村建設有限会社 第 27 支店,981,[97],[490],"[[8798, 17798], [25740, 34740]]","[139.21611963,36.04722731]",12,"[0,1]",71
13,山岸電気有限会社 第 13 支店,956,[92],[381],"[[489, 9489], [18152, 27152]]","[139.30695455,36.19080125]",13,"[0,1]",53
14,株式会社三宅印刷 第 63 支店,755,[58],[278],"[[3410, 12410], [22979, 31979]]","[139.46293794,35.82373752]",14,"[0,1]",69
15,有限会社原田情報 第 4 支店,913,[80],[376],"[[2178, 11178], [25862, 34862]]","[139.51471034,36.05771354]",15,"[0,1]",36
16,有限会社高橋運輸 第 50 支店,1195,[57],[354],"[[5984, 14984], [20518, 29518]]","[139.74548574,36.01159379]",16,[0],21
17,佐々木電気株式会社 第 56 支店,766,[53],[457],"[[3270, 12270], [26519, 35519]]","[139.37493201,35.84508825]",17,"[0,1]",40
18,合同会社渡辺ガス 第 78 支店,888,[56],[568],"[[7183, 16183], [18020, 27020]]","[139.30791926,35.84539123]",18,"[0,1]",77
19,株式会社高橋保険 第 98 支店,1018,[71],[352],"[[6774, 15774], [19968, 28968]]","[139.36491248,36.23491271]",19,[0],91
20,田辺銀行株式会社 第 99 支店,879,[99],[590],"[[6422, 15422], [24629, 33629]]","[139.49149965,36.00356841]",20,"[0,1]",49
21,吉本ガス有限会社 第 1 支店,687,[53],[768],"[[3981, 12981], [20033, 29033]]","[139.69538302,36.10428181]",21,"[0,1]",47
22,有限会社吉本水産 第 90 支店,843,[54],[498],"[[609, 9609], [23813, 32813]]","[139.66031324,35.85812348]",22,[0],77
23,宮沢銀行合同会社 第 58 支店,948,[74],[662],"[[1876, 10876], [21082, 30082]]","[139.76290835,36.04662036]",23,"[0,1]",40
24,田中ガス有限会社 第 35 支店,1186,[99],[680],"[[7264, 16264], [18183, 27183]]","[139.42091397,36.10984772]",24,"[0,1]",78
25,合同会社中島鉱業 第 93 支店,790,[93],[315],"[[6461, 15461], [21640, 30640]]","[139.34579246,35.96523895]",25,"[0,1]",45
26,杉山食品有限会社 第 30 支店,902,[62],[853],"[[7897, 16897], [26597, 35597]]","[139.48298155,35.92869498]",26,"[0,1]",87
27,渚ガス有限会社 第 76 支店,751,[76],[603],"[[3303, 12303], [25264, 34264]]","[139.60413698,36.17269137]",27,"[0,1]",16
28,株式会社加藤ガス 第 14 支店,921,[66],[578],"[[505, 9505], [26147, 35147]]","[139.17554663,36.17173005]",28,"[0,1]",28
29,三宅運輸合同会社 第 41 支店,969,[95],[964],"[[5145, 14145], [23617, 32617]]","[139.61544355,35.91404725]",29,"[0,1]",45
