,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設 第 18 支店,3994108,長野県,駒ヶ根市,下市場,"[137.93741356,35.72581477]"
1,有限会社西之園運輸 第 73 支店,3999422,長野県,北安曇郡小谷村,千国乙,"[137.86121106,36.76591445]"
2,株式会社村山印刷 第 98 支店,3842304,長野県,北佐久郡立科町,茂田井（１～５００「２１１番地を除く」「古町」、２５２７～２５２９,"[138.33353823,36.27928219]"
3,青田印刷合同会社 第 9 支店,3940032,長野県,岡谷市,若宮,"[138.06103658,36.06210255]"
4,合同会社山田水産 第 33 支店,3890516,長野県,東御市,田中,"[138.3330027,36.35248742]"
5,有限会社吉田食品 第 16 支店,3830035,長野県,中野市,篠井,"[138.35872868,36.72543341]"
6,有限会社青山鉱業 第 64 支店,3820065,長野県,須坂市,相之島,"[138.28275771,36.6779365]"
7,有限会社喜嶋建設 第 98 支店,3940028,長野県,岡谷市,本町,"[138.0449491,36.06112527]"
8,有限会社工藤水産 第 58 支店,3841402,長野県,南佐久郡川上村,梓山,"[138.72205215,35.95158365]"
9,津田情報株式会社 第 61 支店,3830061,長野県,中野市,壁田,"[138.34549907,36.79107146]"
10,山岸農林株式会社 第 84 支店,3841305,長野県,南佐久郡南牧村,野辺山,"[138.46742705,35.94680639]"
11,浜田保険有限会社 第 49 支店,3997412,長野県,松本市,保福寺町,"[138.05460254,36.3090456]"
12,野村建設有限会社 第 27 支店,3940004,長野県,岡谷市,神明町,"[138.04404228,36.07855629]"
13,山岸電気有限会社 第 13 支店,3812225,長野県,長野市,篠ノ井岡田,"[138.1274914,36.59219751]"
14,株式会社三宅印刷 第 63 支店,3800811,長野県,長野市,東鶴賀町,"[138.19761918,36.65208592]"
15,有限会社原田情報 第 4 支店,3812245,長野県,長野市,三本柳東,"[138.16555059,36.61737315]"
16,有限会社高橋運輸 第 50 支店,3951103,長野県,下伊那郡喬木村,大島,"[137.9431464,35.49937211]"
17,佐々木電気株式会社 第 56 支店,3998102,長野県,安曇野市,三郷温,"[137.88125175,36.26289452]"
18,合同会社渡辺ガス 第 78 支店,3820805,長野県,上高井郡高山村,三郷,"[138.37564903,36.69575692]"
19,株式会社高橋保険 第 98 支店,3930065,長野県,諏訪郡下諏訪町,魁町,"[138.08288582,36.0739804]"
20,田辺銀行株式会社 第 99 支店,3994501,長野県,伊那市,西箕輪,"[137.91585711,35.88170926]"
21,吉本ガス有限会社 第 1 支店,3850041,長野県,佐久市,鍛冶屋,"[138.47993489,36.21587913]"
22,有限会社吉本水産 第 90 支店,3891305,長野県,上水内郡信濃町,柏原,"[138.15549997,36.80200764]"
23,宮沢銀行合同会社 第 58 支店,3811231,長野県,長野市,松代町松代,"[138.19872038,36.56210644]"
24,田中ガス有限会社 第 35 支店,3830054,長野県,中野市,立ケ花,"[138.31378745,36.72882751]"
25,合同会社中島鉱業 第 93 支店,3960404,長野県,伊那市,長谷中尾,"[138.07781651,35.75759969]"
26,杉山食品有限会社 第 30 支店,3888004,長野県,長野市,篠ノ井会,"[138.14918363,36.57115538]"
27,渚ガス有限会社 第 76 支店,3900821,長野県,松本市,筑摩,"[137.98475442,36.2224609]"
28,株式会社加藤ガス 第 14 支店,3850031,長野県,佐久市,内山,"[138.56973179,36.21867944]"
29,三宅運輸合同会社 第 41 支店,3820801,長野県,上高井郡高山村,駒場,"[138.34435701,36.68812388]"
30,合同会社野村農林 第 4 支店,3950826,長野県,飯田市,松尾水城,"[137.84583125,35.49804494]"
