,from_node,to_node,time
0,0,0,0
1,0,1,1011
2,0,2,2001
3,0,3,4830
4,0,4,395
5,0,5,5542
6,0,6,2915
7,0,7,2459
8,0,8,1672
9,1,0,1008
10,1,1,0
11,1,2,1475
12,1,3,4304
13,1,4,1077
14,1,5,5025
15,1,6,2651
16,1,7,1933
17,1,8,1491
18,2,0,1937
19,2,1,1418
20,2,2,0
21,2,3,3848
22,2,4,1873
23,2,5,4526
24,2,6,2173
25,2,7,1115
26,2,8,2186
27,3,0,4815
28,3,1,4297
29,3,2,3860
30,3,3,0
31,3,4,4885
32,3,5,1078
33,3,6,5398
34,3,7,4514
35,3,8,4344
36,4,0,397
37,4,1,1069
38,4,2,1932
39,4,3,4888
40,4,4,0
41,4,5,5609
42,4,6,2675
43,4,7,2388
44,4,8,1948
45,5,0,5534
46,5,1,5016
47,5,2,4542
48,5,3,1067
49,5,4,5604
50,5,5,0
51,5,6,6080
52,5,7,5196
53,5,8,4728
54,6,0,2882
55,6,1,2639
56,6,2,2128
57,6,3,5418
58,6,4,2673
59,6,5,6097
60,6,6,0
61,6,7,1548
62,6,8,3759
63,7,0,2456
64,7,1,1937
65,7,2,1070
66,7,3,4509
67,7,4,2392
68,7,5,5187
69,7,6,1543
70,7,7,0
71,7,8,2910
72,8,0,1665
73,8,1,1495
74,8,2,2215
75,8,3,4364
76,8,4,1949
77,8,5,4761
78,8,6,3801
79,8,7,2937
80,8,8,0
