,from_node,to_node,time
0,0,0,0
1,0,1,2130
2,0,2,7463
3,0,3,3214
4,0,4,3172
5,0,5,3794
6,0,6,5555
7,0,7,6095
8,0,8,3387
9,0,9,2681
10,0,10,2632
11,1,0,2132
12,1,1,0
13,1,2,7462
14,1,3,3212
15,1,4,3170
16,1,5,2722
17,1,6,5554
18,1,7,6094
19,1,8,3168
20,1,9,2679
21,1,10,2542
22,2,0,7469
23,2,1,7466
24,2,2,0
25,2,3,4847
26,2,4,4723
27,2,5,7848
28,2,6,3885
29,2,7,2692
30,2,8,5299
31,2,9,5061
32,2,10,5854
33,3,0,3226
34,3,1,3222
35,3,2,4836
36,3,3,0
37,3,4,473
38,3,5,4183
39,3,6,2928
40,3,7,3467
41,3,8,744
42,3,9,817
43,3,10,1417
44,4,0,3143
45,4,1,3139
46,4,2,4692
47,4,3,493
48,4,4,0
49,4,5,4414
50,4,6,2784
51,4,7,3324
52,4,8,945
53,4,9,735
54,4,10,1528
55,5,0,3793
56,5,1,2730
57,5,2,7850
58,5,3,4200
59,5,4,4403
60,5,5,0
61,5,6,6858
62,5,7,7398
63,5,8,4316
64,5,9,4204
65,5,10,4042
66,6,0,5556
67,6,1,5552
68,6,2,3826
69,6,3,2933
70,6,4,2810
71,6,5,6855
72,6,6,0
73,6,7,1333
74,6,8,3385
75,6,9,3147
76,6,10,3941
77,7,0,6122
78,7,1,6119
79,7,2,2696
80,7,3,3500
81,7,4,3376
82,7,5,7421
83,7,6,1355
84,7,7,0
85,7,8,3952
86,7,9,3714
87,7,10,4507
88,8,0,3364
89,8,1,3176
90,8,2,5301
91,8,3,752
92,8,4,938
93,8,5,4316
94,8,6,3393
95,8,7,3933
96,8,8,0
97,8,9,1156
98,8,10,1057
99,9,0,2679
100,9,1,2676
101,9,2,5051
102,9,3,801
103,9,4,759
104,9,5,4207
105,9,6,3143
106,9,7,3682
107,9,8,1119
108,9,9,0
109,9,10,1064
110,10,0,2636
111,10,1,2559
112,10,2,5845
113,10,3,1419
114,10,4,1554
115,10,5,4065
116,10,6,3938
117,10,7,4477
118,10,8,1058
119,10,9,1063
120,10,10,0
