,from_node,from_name,to_node,to_name,time,distance
0,0,合同会社前田建設 第 18 支店,0,合同会社前田建設 第 18 支店,0,0
1,0,合同会社前田建設 第 18 支店,1,有限会社阿部運輸 第 73 支店,18902,409006
2,0,合同会社前田建設 第 18 支店,2,株式会社村上印刷 第 98 支店,10681,246968
3,0,合同会社前田建設 第 18 支店,3,佐藤印刷合同会社 第 9 支店,23529,527969
4,0,合同会社前田建設 第 18 支店,4,合同会社青木水産 第 33 支店,20772,474596
5,0,合同会社前田建設 第 18 支店,5,有限会社福田食品 第 16 支店,10531,243670
6,0,合同会社前田建設 第 18 支店,6,有限会社佐藤鉱業 第 64 支店,8529,194995
7,0,合同会社前田建設 第 18 支店,7,有限会社伊藤建設 第 98 支店,17822,405056
8,0,合同会社前田建設 第 18 支店,8,有限会社山本水産 第 58 支店,20462,464356
9,0,合同会社前田建設 第 18 支店,9,井上情報株式会社 第 61 支店,17601,391845
10,0,合同会社前田建設 第 18 支店,10,石井農林株式会社 第 84 支店,10536,240287
11,0,合同会社前田建設 第 18 支店,11,山下保険有限会社 第 49 支店,17307,401226
12,0,合同会社前田建設 第 18 支店,12,森建設有限会社 第 27 支店,9735,224135
13,0,合同会社前田建設 第 18 支店,13,近藤電気有限会社 第 13 支店,3584,82732
14,0,合同会社前田建設 第 18 支店,14,株式会社小川印刷 第 63 支店,24076,549934
15,0,合同会社前田建設 第 18 支店,15,有限会社橋本情報 第 4 支店,30474,687648
16,0,合同会社前田建設 第 18 支店,16,有限会社山口運輸 第 50 支店,11087,256846
17,0,合同会社前田建設 第 18 支店,17,加藤電気株式会社 第 56 支店,16585,381569
18,0,合同会社前田建設 第 18 支店,18,合同会社岡本ガス 第 78 支店,7463,172952
19,0,合同会社前田建設 第 18 支店,19,株式会社山口保険 第 98 支店,16811,364002
20,0,合同会社前田建設 第 18 支店,20,松本銀行株式会社 第 99 支店,18290,412074
21,0,合同会社前田建設 第 18 支店,21,三浦ガス有限会社 第 1 支店,10542,244030
22,0,合同会社前田建設 第 18 支店,22,有限会社三浦水産 第 90 支店,22953,520967
23,0,合同会社前田建設 第 18 支店,23,長谷川銀行合同会社 第 58 支店,28108,630437
24,0,合同会社前田建設 第 18 支店,24,山口ガス有限会社 第 35 支店,2201,42592
25,0,合同会社前田建設 第 18 支店,25,合同会社木村鉱業 第 93 支店,17033,389490
26,0,合同会社前田建設 第 18 支店,26,佐々木食品有限会社 第 30 支店,17835,391498
27,0,合同会社前田建設 第 18 支店,27,清水ガス有限会社 第 76 支店,7844,176785
28,0,合同会社前田建設 第 18 支店,28,株式会社田中ガス 第 14 支店,16069,367483
29,0,合同会社前田建設 第 18 支店,29,小川運輸合同会社 第 41 支店,9150,199830
30,0,合同会社前田建設 第 18 支店,30,合同会社森農林 第 4 支店,16043,370453
31,0,合同会社前田建設 第 18 支店,31,株式会社前田建設 第 3 支店,8361,190978
32,0,合同会社前田建設 第 18 支店,32,有限会社中村水産 第 4 支店,19332,425202
33,0,合同会社前田建設 第 18 支店,33,有限会社高橋建設 第 84 支店,11637,266577
34,0,合同会社前田建設 第 18 支店,34,山田食品有限会社 第 70 支店,16214,358687
35,0,合同会社前田建設 第 18 支店,35,有限会社吉田鉱業 第 2 支店,6220,145287
36,0,合同会社前田建設 第 18 支店,36,合同会社山口鉱業 第 49 支店,14735,339573
37,0,合同会社前田建設 第 18 支店,37,長谷川水産株式会社 第 88 支店,16106,371279
38,0,合同会社前田建設 第 18 支店,38,合同会社高橋通信 第 28 支店,24880,558080
39,0,合同会社前田建設 第 18 支店,39,井上鉱業合同会社 第 55 支店,22502,490770
40,0,合同会社前田建設 第 18 支店,40,山口鉱業有限会社 第 93 支店,3694,78442
41,0,合同会社前田建設 第 18 支店,41,有限会社山本情報 第 4 支店,16216,378007
42,0,合同会社前田建設 第 18 支店,42,株式会社藤原銀行 第 68 支店,27624,622785
43,0,合同会社前田建設 第 18 支店,43,合同会社山本保険 第 29 支店,12142,276854
