,name,start,start_index,end,end_index,capacity,time_window,skills,breaks
0,truck0,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
1,truck1,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
2,truck2,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
3,truck3,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
4,truck4,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
5,truck5,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
6,truck6,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
7,truck7,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
8,truck8,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
9,truck9,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
10,truck10,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
11,truck11,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
12,truck12,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
13,truck13,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
14,truck14,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
15,truck15,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
16,truck16,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
17,truck17,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
18,truck18,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
19,truck19,"[142.38201073,43.77826136]",100,"[142.38201073,43.77826136]",100,[6034],"[0, 36000]",[0],[]
