,Cust,Prod,mean,std,S,cost
0,ﾅｺﾞﾔ ｼﾀｳｹｶｺｳｼﾞﾖ2,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｽｶ-ﾚﾂﾄ ｶｴ,1.5660377358490567,10.465160945438596,57.11716440693383,70.07586608769842
1,ﾅｺﾞﾔ ｼﾀｳｹｶｺｳｼﾞﾖ2,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｼﾞﾕﾘｴﾂﾄ,1.5471698113207548,8.082664349695603,39.8239548772074,47.2421890878216
2,ﾅｺﾞﾔ ｼﾀｳｹｶｺｳｼﾞﾖ2,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｼﾞﾕﾘｴﾂﾄ ｶｴ,0.34615384615384615,1.765045216243656,4.950022897400328,4.9790311123866084
3,ﾅｺﾞﾔ ｼﾀｳｹｶｺｳｼﾞﾖ2,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾏﾘｱ,1.150943396226415,8.37899440087003,25.365939713217504,28.191086300481047
4,ﾅｺﾞﾔ ｼﾀｳｹｶｺｳｼﾞﾖ2,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｱﾆ- ｶｴ,0.5555555555555556,2.886751345948129,8.76995083192551,9.389012368747146
5,ﾅｺﾞﾔ ｼﾀｳｹｶｺｳｼﾞﾖ2,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾏﾘｱ ｶｴ,1.2452830188679245,6.841349564279525,23.586398688818047,25.81692996419911
6,ｵｵｻｶ   ﾎｶﾝｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ﾀﾞｲｱﾅ ｶｴ,7.407407407407407,38.90894960275052,86.59794091861242,108.67109612654086
7,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁMｶｴﾄｸﾀﾞｲ,84.5625,105.03255353264197,365.04080221774814,1296.650200696535
8,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSﾎﾝﾀｲｵﾀﾒｼ,58.01851851851852,99.6714396254468,296.13357167828383,542.5976614815706
9,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁSｶｴｿﾞｳﾘﾖｳ,62.524752475247524,121.27362401275934,441.82279876296707,3220.607596329907
10,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｼﾜｽﾂｷﾘｿﾌﾗﾝ,2.6990291262135924,2.8451367225023807,13.343649162786935,13.12493140557901
11,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｶｵﾘｿﾌﾗﾝPS Fｸﾞﾘ-ﾝ,19.295454545454547,27.299867573964995,116.16906937583015,177.84044700426466
12,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁ ｸﾘｽﾃｲ-ﾇ ｶｴ,118.72222222222223,118.9922417419356,345.7051877630828,516.5281286434382
13,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ ｱﾛﾏｿ-ﾌﾟｶｴｿﾞｳ,148.37037037037038,162.9214412267336,557.3957039500365,3035.133868062659
14,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁPｶｴﾄｸﾀﾞｲ,127.83333333333333,141.8886265806431,445.9300671913944,1228.2975312992355
15,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Wﾊ-ﾌﾞ ｶｴ,875.9807692307693,495.571822237176,1796.2421425887767,5304.871066773209
16,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁDｶｴﾄｸﾀﾞｲ,131.93846153846152,125.93660073166241,445.00178607903797,1158.5998808925183
17,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝｱﾛﾏﾘﾂﾁJｶｴﾄｸﾀﾞｲ,523.3398058252427,417.1399011428325,1326.3870649331388,3095.687430719115
18,ｻﾂﾎﾟﾛ ﾘﾕｳﾂｳ ｾﾝﾀ-,ｿﾌﾗﾝAﾅﾁﾕﾗﾙ PS Wﾊ-ﾌﾞｶｴｿﾞｳ,117.77777777777777,137.7333916647927,466.9169406913525,1870.1165860945741
