,Prod,AggStd,SumStd,Reduction
19,G,35.919417387459745,137.16445261755257,101.24503523009282
14,H,76.02810485125042,177.27057290545642,101.242468054206
16,M,66.76978766968294,166.06164715288182,99.29185948319888
12,Q,84.41976646317478,182.66255755583822,98.24279109266344
15,C,55.30466581226272,152.11332306248104,96.80865725021832
13,J,90.37443155443844,185.61825806463278,95.24382651019434
17,N,41.481923774097076,136.49783662553142,95.01591285143434
18,D,45.57203754563324,139.9631579007404,94.39112035510718
11,E,103.36695445221974,194.42306645338277,91.05611200116303
9,K,356.6053225354412,437.8702017758512,81.26487924041004
10,A,250.05247934032255,328.2111997736341,78.15872043331157
8,S,367.2378780721143,440.53167361211183,73.29379553999752
7,B,547.1015292734369,618.4816324830575,71.38010320962064
6,F,722.9522963012654,788.3571106182117,65.40481431694627
5,O,830.8057926805249,894.2023451889422,63.39655250841736
4,P,861.5496037356002,924.7146670649622,63.165063329362056
3,R,924.0988567083593,982.469014955753,58.37015824739365
2,L,1722.3484232027765,1772.1947463833612,49.846323180584704
1,T,3980.9201730557756,4018.7660932481785,37.8459201924029
0,I,7230.037771811305,7251.8520302214665,21.81425841016153
