,reserve,checkin,class_name,demand
0,2019-01-01,2019-01-02,C,27
1,2019-01-01,2019-01-02,B,15
2,2019-01-01,2019-01-02,A,8
3,2019-01-02,2019-01-02,C,16
4,2019-01-02,2019-01-02,B,6
5,2019-01-02,2019-01-02,A,7
6,2019-01-02,2019-01-03,C,19
7,2019-01-02,2019-01-03,B,16
8,2019-01-02,2019-01-03,A,4
9,2019-01-03,2019-01-03,C,26
10,2019-01-03,2019-01-03,B,12
11,2019-01-03,2019-01-03,A,2
12,2019-01-03,2019-01-04,C,21
13,2019-01-03,2019-01-04,B,9
14,2019-01-03,2019-01-04,A,6
15,2019-01-04,2019-01-04,C,16
16,2019-01-04,2019-01-04,B,6
17,2019-01-04,2019-01-04,A,5
18,2019-01-04,2019-01-05,C,18
19,2019-01-04,2019-01-05,B,7
20,2019-01-04,2019-01-05,A,9
21,2019-01-05,2019-01-05,C,7
22,2019-01-05,2019-01-05,B,4
23,2019-01-05,2019-01-05,A,9
24,2019-01-05,2019-01-06,C,18
25,2019-01-05,2019-01-06,B,12
26,2019-01-05,2019-01-06,A,2
27,2019-01-06,2019-01-06,C,24
28,2019-01-06,2019-01-06,B,8
29,2019-01-06,2019-01-06,A,5
30,2019-01-06,2019-01-07,C,24
31,2019-01-06,2019-01-07,B,13
32,2019-01-06,2019-01-07,A,5
33,2019-01-07,2019-01-07,C,20
34,2019-01-07,2019-01-07,B,12
35,2019-01-07,2019-01-07,A,5
