,name,net_replenishment_time,max_guaranteed_LT,processing_time,replenishment_LT,guaranteed_LT,z,average_demand,sigma,h,b,capacity,x,y
0,Dist_0001,0.0,0.0,8.0,0.0,0.0,1.6448536269514722,135.8,10.76,94.12,818.5,1358.0,1232,32
1,Dist_0002,0.0,0.0,3.0,0.0,0.0,1.6448536269514722,160.03,8.78,94.96000000000001,825.8,1600.3,1232,176
2,Dist_0003,0.0,0.0,3.0,0.0,0.0,1.6448536269514722,67.09,5.58,92.27,802.4,670.9000000000001,1232,256
3,Dist_0004,0.0,0.0,3.0,0.0,0.0,1.6448536269514722,43.81,11.92,94.85,824.8,438.1,1232,336
4,Dist_0005,0.0,0.0,4.0,0.0,0.0,1.6448536269514722,14.08,12.24,96.0,834.8,140.8,1232,400
5,Dist_0006,0.0,0.0,1.0,0.0,0.0,1.6448536269514722,105.52,11.67,89.14000000000001,775.2,1055.2,1232,480
6,Dist_0007,0.0,0.0,11.0,0.0,0.0,1.6448536269514722,690.22,8.63,129.85,1129.2,6902.200000000001,1232,640
7,Dist_0008,0.0,0.0,3.0,0.0,0.0,1.6448536269514722,19.29,9.96,112.44,977.8,192.89999999999998,1232,720
8,Dist_0009,0.0,0.0,7.0,0.0,0.0,1.6448536269514722,61.24,13.64,121.53,1056.8,612.4,1232,800
9,Dist_0010,0.0,0.0,0.0,0.0,0.0,1.6448536269514722,38.65,17.07,93.78999999999999,815.6,386.5,1232,960
10,Dist_0011,0.0,0.0,1.0,0.0,0.0,1.6448536269514722,1659.54,15.63,102.39,890.4,16595.4,1232,1040
11,Dist_0012,0.0,0.0,8.0,0.0,0.0,1.6448536269514722,389.88,16.01,96.85000000000001,842.2,3898.8,1232,1120
12,Dist_0013,0.0,0.0,3.0,0.0,0.0,1.6448536269514722,386.9,18.45,87.76,763.2,3869.0,1232,1520
13,Dist_0014,0.0,0.0,12.0,0.0,0.0,1.6448536269514722,482.89,17.86,90.64,788.2,4828.9,1232,1792
14,Dist_0015,0.0,0.0,4.0,0.0,0.0,1.6448536269514722,119.17,20.77,95.22,828.0,1191.7,1232,1856
15,Dist_0016,0.0,0.0,6.0,0.0,0.0,1.6448536269514722,118.77,16.98,89.64,779.5,1187.7,1232,2080
16,Dist_0017,0.0,0.0,6.0,0.0,0.0,1.6448536269514722,455.75,9.85,76.82000000000001,668.0,4557.5,1232,2400
17,Dist_0018,0.0,0.0,7.0,0.0,0.0,1.6448536269514722,327.7,12.25,81.44,708.2,3277.0,1232,2624
18,Dist_0019,0.0,0.0,9.0,0.0,0.0,1.6448536269514722,91.63,14.95,82.0,713.1,916.3,1232,2816
19,Dist_0020,0.0,0.0,8.0,0.0,0.0,1.6448536269514722,293.42,14.68,79.45,690.9,2934.2000000000003,1232,2880
20,Dist_0021,0.0,0.0,2.0,0.0,0.0,1.6448536269514722,301.19,12.15,79.43,690.7,3011.9,1232,3104
21,Dist_0022,0.0,0.0,2.0,0.0,0.0,1.6448536269514722,79.45,18.62,87.16,757.9,794.5,1232,3344
22,Dist_0023,0.0,0.0,6.0,0.0,0.0,1.6448536269514722,645.41,11.11,77.11,670.5,6454.099999999999,1232,3568
23,Dist_0024,0.0,0.0,1.0,0.0,0.0,1.6448536269514722,357.04,12.2,80.71000000000001,701.9,3570.4,1232,3632
24,Dist_0025,0.0,0.0,6.0,0.0,0.0,1.6448536269514722,735.0,12.08,76.63000000000001,666.4,7350.0,1232,3792
25,Dist_0026,0.0,0.0,3.0,0.0,0.0,1.6448536269514722,916.68,6.56,77.01,669.7,9166.8,1232,3888
26,Dist_0027,0.0,0.0,5.0,0.0,0.0,1.6448536269514722,4031.75,13.79,91.53,795.9,40317.5,1232,4304
27,Dist_0028,0.0,0.0,7.0,0.0,0.0,1.6448536269514722,771.32,7.02,91.21,793.2,7713.200000000001,1232,4384
28,Dist_0029,0.0,0.0,1.0,0.0,0.0,1.6448536269514722,386.9,18.45,88.54,769.9,3869.0,1424,1520
