,child,parent,units,allocation
0,Manuf_0001,Retail_0001,1,1.0
1,Manuf_0002,Retail_0002,1,1.0
2,Manuf_0003,Retail_0003,1,1.0
3,Manuf_0004,Retail_0004,1,1.0
4,Manuf_0005,Retail_0005,1,1.0
5,Manuf_0006,Retail_0006,1,1.0
6,Part_0001,Trans_0001,1,1.0
7,Part_0002,Trans_0002,1,1.0
8,Part_0003,Trans_0003,1,1.0
9,Part_0004,Trans_0004,1,1.0
10,Part_0005,Trans_0005,1,1.0
11,Part_0006,Trans_0006,1,1.0
12,Part_0007,Trans_0007,1,1.0
13,Part_0008,Trans_0008,1,1.0
14,Part_0009,Trans_0009,1,1.0
15,Part_0010,Trans_0010,1,1.0
16,Part_0011,Trans_0011,1,1.0
17,Part_0012,Trans_0012,1,1.0
18,Part_0013,Trans_0013,1,1.0
19,Trans_0001,Manuf_0001,1,0.16666666666666666
20,Trans_0001,Manuf_0002,1,0.16666666666666666
21,Trans_0001,Manuf_0003,1,0.16666666666666666
22,Trans_0001,Manuf_0004,1,0.16666666666666666
23,Trans_0001,Manuf_0005,1,0.16666666666666666
24,Trans_0001,Manuf_0006,1,0.16666666666666666
25,Trans_0002,Manuf_0001,1,0.5
26,Trans_0002,Manuf_0002,1,0.5
27,Trans_0003,Manuf_0003,1,0.5
28,Trans_0003,Manuf_0004,1,0.5
29,Trans_0004,Manuf_0005,1,0.5
30,Trans_0004,Manuf_0006,1,0.5
31,Trans_0005,Manuf_0001,1,0.3333333333333333
32,Trans_0005,Manuf_0003,1,0.3333333333333333
33,Trans_0005,Manuf_0005,1,0.3333333333333333
34,Trans_0006,Manuf_0002,1,0.3333333333333333
35,Trans_0006,Manuf_0004,1,0.3333333333333333
36,Trans_0006,Manuf_0006,1,0.3333333333333333
37,Trans_0007,Manuf_0001,1,0.2
38,Trans_0007,Manuf_0002,1,0.2
39,Trans_0007,Manuf_0004,1,0.2
40,Trans_0007,Manuf_0005,1,0.2
41,Trans_0007,Manuf_0006,1,0.2
42,Trans_0008,Manuf_0001,1,0.16666666666666666
43,Trans_0008,Manuf_0002,1,0.16666666666666666
44,Trans_0008,Manuf_0003,1,0.16666666666666666
45,Trans_0008,Manuf_0004,1,0.16666666666666666
46,Trans_0008,Manuf_0005,1,0.16666666666666666
47,Trans_0008,Manuf_0006,1,0.16666666666666666
48,Trans_0009,Manuf_0001,1,0.16666666666666666
49,Trans_0009,Manuf_0002,1,0.16666666666666666
50,Trans_0009,Manuf_0003,1,0.16666666666666666
51,Trans_0009,Manuf_0004,1,0.16666666666666666
52,Trans_0009,Manuf_0005,1,0.16666666666666666
53,Trans_0009,Manuf_0006,1,0.16666666666666666
54,Trans_0010,Manuf_0001,1,0.16666666666666666
55,Trans_0010,Manuf_0002,1,0.16666666666666666
56,Trans_0010,Manuf_0003,1,0.16666666666666666
57,Trans_0010,Manuf_0004,1,0.16666666666666666
58,Trans_0010,Manuf_0005,1,0.16666666666666666
59,Trans_0010,Manuf_0006,1,0.16666666666666666
60,Trans_0011,Manuf_0001,1,0.16666666666666666
61,Trans_0011,Manuf_0002,1,0.16666666666666666
62,Trans_0011,Manuf_0003,1,0.16666666666666666
63,Trans_0011,Manuf_0004,1,0.16666666666666666
64,Trans_0011,Manuf_0005,1,0.16666666666666666
65,Trans_0011,Manuf_0006,1,0.16666666666666666
66,Trans_0012,Manuf_0001,1,0.16666666666666666
67,Trans_0012,Manuf_0002,1,0.16666666666666666
68,Trans_0012,Manuf_0003,1,0.16666666666666666
69,Trans_0012,Manuf_0004,1,0.16666666666666666
70,Trans_0012,Manuf_0005,1,0.16666666666666666
71,Trans_0012,Manuf_0006,1,0.16666666666666666
72,Trans_0013,Manuf_0001,1,0.16666666666666666
73,Trans_0013,Manuf_0002,1,0.16666666666666666
74,Trans_0013,Manuf_0003,1,0.16666666666666666
75,Trans_0013,Manuf_0004,1,0.16666666666666666
76,Trans_0013,Manuf_0005,1,0.16666666666666666
77,Trans_0013,Manuf_0006,1,0.16666666666666666
