,from_node,from_name,to_node,to_name,time,distance
0,0,札幌市,0,札幌市,0,0
1,0,札幌市,1,青森市,23888,427015
2,0,札幌市,2,盛岡市,28257,546453
3,0,札幌市,3,仙台市,36161,721614
4,0,札幌市,4,秋田市,31428,610043
5,0,札幌市,5,山形市,38468,781532
6,0,札幌市,6,福島市,40019,799268
7,0,札幌市,7,水戸市,48085,980277
8,0,札幌市,8,宇都宮市,47522,961077
9,0,札幌市,9,前橋市,51517,1050265
10,0,札幌市,10,さいたま市,51609,1053644
11,0,札幌市,11,千葉市,52978,1086868
12,0,札幌市,12,新宿区,52652,1072932
13,0,札幌市,13,横浜市,53830,1102187
14,0,札幌市,14,新潟市,42865,865510
15,0,札幌市,15,富山市,53283,1108557
16,0,札幌市,16,金沢市,55480,1161717
17,0,札幌市,17,福井市,58603,1239195
18,0,札幌市,18,甲府市,58024,1171994
19,0,札幌市,19,長野市,51228,1045360
20,0,札幌市,20,岐阜市,62700,1306897
21,0,札幌市,21,静岡市,60527,1243693
22,0,札幌市,22,名古屋市,62813,1295620
23,0,札幌市,23,津市,66159,1375527
24,0,札幌市,24,大津市,64360,1378154
25,0,札幌市,25,京都市,65039,1390659
26,0,札幌市,26,大阪市,67411,1439723
27,0,札幌市,27,神戸市,68139,1456243
28,0,札幌市,28,奈良市,66779,1422378
29,0,札幌市,29,和歌山市,70744,1510534
30,0,札幌市,30,鳥取市,70604,1525232
31,0,札幌市,31,松江市,75487,1643775
32,0,札幌市,32,岡山市,73210,1582581
33,0,札幌市,33,広島市,80114,1745203
34,0,札幌市,34,山口市,84909,1871278
35,0,札幌市,35,徳島市,73231,1565344
36,0,札幌市,36,高松市,76206,1615871
37,0,札幌市,37,松山市,81004,1764065
38,0,札幌市,38,高知市,81018,1748588
39,0,札幌市,39,福岡市,91840,2009600
40,0,札幌市,40,佐賀市,93743,2055840
41,0,札幌市,41,長崎市,97643,2144769
42,0,札幌市,42,熊本市,95595,2102906
43,0,札幌市,43,大分市,94221,2065143
44,0,札幌市,44,宮崎市,102356,2247148
45,0,札幌市,45,鹿児島市,105199,2288685
46,0,札幌市,46,那覇市,583086,3080358
47,0,札幌市,47,Odawara,56312,1148434
48,0,札幌市,48,Osaka,68443,1458329
49,0,札幌市,49,Chiba,53423,1100156
50,1,青森市,0,札幌市,23878,426987
51,1,青森市,1,青森市,0,0
52,1,青森市,2,盛岡市,8757,183876
53,1,青森市,3,仙台市,16619,358194
54,1,青森市,4,秋田市,8645,178548
55,1,青森市,5,山形市,16615,364415
56,1,青森市,6,福島市,20441,452065
57,1,青森市,7,水戸市,28285,627085
58,1,青森市,8,宇都宮市,27708,607776
59,1,青森市,9,前橋市,30064,642055
60,1,青森市,10,さいたま市,31810,700453
61,1,青森市,11,千葉市,33178,733677
62,1,青森市,12,新宿区,32852,719741
63,1,青森市,13,横浜市,34030,748995
64,1,青森市,14,新潟市,20082,434015
65,1,青森市,15,富山市,30500,677062
66,1,青森市,16,金沢市,32697,730221
67,1,青森市,17,福井市,35820,807700
68,1,青森市,18,甲府市,35617,768766
69,1,青森市,19,長野市,28445,613865
70,1,青森市,20,岐阜市,39917,875401
71,1,青森市,21,静岡市,39384,854640
72,1,青森市,22,名古屋市,40030,864125
73,1,青森市,23,津市,43376,944032
74,1,青森市,24,大津市,41577,946659
75,1,青森市,25,京都市,42256,959164
76,1,青森市,26,大阪市,44628,1008228
77,1,青森市,27,神戸市,45356,1024748
78,1,青森市,28,奈良市,43996,990882
79,1,青森市,29,和歌山市,47961,1079039
80,1,青森市,30,鳥取市,47821,1093737
81,1,青森市,31,松江市,52704,1212280
82,1,青森市,32,岡山市,50427,1151086
83,1,青森市,33,広島市,57331,1313707
84,1,青森市,34,山口市,62126,1439783
85,1,青森市,35,徳島市,50448,1133849
86,1,青森市,36,高松市,53424,1184376
87,1,青森市,37,松山市,58221,1332570
88,1,青森市,38,高知市,58235,1317093
89,1,青森市,39,福岡市,69057,1578105
90,1,青森市,40,佐賀市,70960,1624345
91,1,青森市,41,長崎市,74860,1713274
92,1,青森市,42,熊本市,72812,1671411
93,1,青森市,43,大分市,71438,1633648
94,1,青森市,44,宮崎市,79573,1815653
95,1,青森市,45,鹿児島市,82416,1857189
96,1,青森市,46,那覇市,560303,2648863
97,1,青森市,47,Odawara,36513,795242
98,1,青森市,48,Osaka,45661,1026834
99,1,青森市,49,Chiba,33623,746965
100,2,盛岡市,0,札幌市,28463,546501
101,2,盛岡市,1,青森市,8947,183838
102,2,盛岡市,2,盛岡市,0,0
103,2,盛岡市,3,仙台市,8276,179349
104,2,盛岡市,4,秋田市,5282,116446
105,2,盛岡市,5,山形市,10684,243853
106,2,盛岡市,6,福島市,12135,257003
107,2,盛岡市,7,水戸市,20200,438012
108,2,盛岡市,8,宇都宮市,19637,418812
109,2,盛岡市,9,前橋市,23632,508001
110,2,盛岡市,10,さいたま市,23724,511380
111,2,盛岡市,11,千葉市,25093,544603
112,2,盛岡市,12,新宿区,24767,530667
113,2,盛岡市,13,横浜市,25945,559922
114,2,盛岡市,14,新潟市,15970,354971
115,2,盛岡市,15,富山市,26387,598018
116,2,盛岡市,16,金沢市,28584,651177
117,2,盛岡市,17,福井市,31707,728656
118,2,盛岡市,18,甲府市,30140,629730
119,2,盛岡市,19,長野市,24332,534821
120,2,盛岡市,20,岐阜市,35804,796357
121,2,盛岡市,21,静岡市,32643,701428
122,2,盛岡市,22,名古屋市,35918,785081
123,2,盛岡市,23,津市,39263,864988
124,2,盛岡市,24,大津市,37464,867615
125,2,盛岡市,25,京都市,38144,880120
126,2,盛岡市,26,大阪市,40515,929184
127,2,盛岡市,27,神戸市,41243,945704
128,2,盛岡市,28,奈良市,39883,911838
129,2,盛岡市,29,和歌山市,43848,999995
130,2,盛岡市,30,鳥取市,43708,1014693
131,2,盛岡市,31,松江市,48592,1133236
132,2,盛岡市,32,岡山市,46314,1072042
133,2,盛岡市,33,広島市,53218,1234663
134,2,盛岡市,34,山口市,58013,1360738
135,2,盛岡市,35,徳島市,46335,1054805
136,2,盛岡市,36,高松市,49311,1105331
137,2,盛岡市,37,松山市,54108,1253526
138,2,盛岡市,38,高知市,54122,1238049
139,2,盛岡市,39,福岡市,64944,1499061
140,2,盛岡市,40,佐賀市,66848,1545301
141,2,盛岡市,41,長崎市,70747,1634230
142,2,盛岡市,42,熊本市,68699,1592367
143,2,盛岡市,43,大分市,67325,1554604
144,2,盛岡市,44,宮崎市,75460,1736609
145,2,盛岡市,45,鹿児島市,78303,1778145
146,2,盛岡市,46,那覇市,556190,2569819
147,2,盛岡市,47,Odawara,28427,606169
148,2,盛岡市,48,Osaka,41548,947789
149,2,盛岡市,49,Chiba,25538,557891
150,3,仙台市,0,札幌市,36234,723056
151,3,仙台市,1,青森市,16676,359594
152,3,仙台市,2,盛岡市,8363,180929
153,3,仙台市,3,仙台市,0,0
154,3,仙台市,4,秋田市,10252,225931
155,3,仙台市,5,山形市,2924,59094
156,3,仙台市,6,福島市,4217,80166
157,3,仙台市,7,水戸市,12283,261175
158,3,仙台市,8,宇都宮市,11720,241975
159,3,仙台市,9,前橋市,15714,331164
160,3,仙台市,10,さいたま市,15807,334543
161,3,仙台市,11,千葉市,17176,367766
162,3,仙台市,12,新宿区,16849,353830
163,3,仙台市,13,横浜市,18027,383085
164,3,仙台市,14,新潟市,10031,219796
165,3,仙台市,15,富山市,20448,462843
166,3,仙台市,16,金沢市,22645,516002
167,3,仙台市,17,福井市,25768,593481
168,3,仙台市,18,甲府市,22222,452893
169,3,仙台市,19,長野市,18393,399646
170,3,仙台市,20,岐阜市,29865,661182
171,3,仙台市,21,静岡市,24725,524591
172,3,仙台市,22,名古屋市,29979,649906
173,3,仙台市,23,津市,33324,729813
174,3,仙台市,24,大津市,31525,732440
175,3,仙台市,25,京都市,32205,744945
176,3,仙台市,26,大阪市,34576,794009
177,3,仙台市,27,神戸市,35304,810529
178,3,仙台市,28,奈良市,33944,776663
179,3,仙台市,29,和歌山市,37909,864820
180,3,仙台市,30,鳥取市,37769,879518
181,3,仙台市,31,松江市,42653,998061
182,3,仙台市,32,岡山市,40375,936867
183,3,仙台市,33,広島市,47279,1099488
184,3,仙台市,34,山口市,52074,1225563
185,3,仙台市,35,徳島市,40396,919630
186,3,仙台市,36,高松市,43372,970157
187,3,仙台市,37,松山市,48169,1118351
188,3,仙台市,38,高知市,48183,1102874
189,3,仙台市,39,福岡市,59005,1363886
190,3,仙台市,40,佐賀市,60909,1410126
191,3,仙台市,41,長崎市,64808,1499055
192,3,仙台市,42,熊本市,62760,1457192
193,3,仙台市,43,大分市,61386,1419429
194,3,仙台市,44,宮崎市,69521,1601434
195,3,仙台市,45,鹿児島市,72364,1642970
196,3,仙台市,46,那覇市,550251,2434644
197,3,仙台市,47,Odawara,20510,429332
198,3,仙台市,48,Osaka,35609,812615
199,3,仙台市,49,Chiba,17620,381054
200,4,秋田市,0,札幌市,31405,609824
201,4,秋田市,1,青森市,8564,176873
202,4,秋田市,2,盛岡市,5292,116708
203,4,秋田市,3,仙台市,10194,224729
204,4,秋田市,4,秋田市,0,0
205,4,秋田市,5,山形市,8916,200884
206,4,秋田市,6,福島市,12742,288535
207,4,秋田市,7,水戸市,20587,463555
208,4,秋田市,8,宇都宮市,20010,444245
209,4,秋田市,9,前橋市,21765,466866
210,4,秋田市,10,さいたま市,24111,536923
211,4,秋田市,11,千葉市,25480,570146
212,4,秋田市,12,新宿区,25154,556210
213,4,秋田市,13,横浜市,26332,585465
214,4,秋田市,14,新潟市,11784,258826
215,4,秋田市,15,富山市,22201,501873
216,4,秋田市,16,金沢市,24398,555033
217,4,秋田市,17,福井市,27521,632511
218,4,秋田市,18,甲府市,27319,593577
219,4,秋田市,19,長野市,20146,438677
220,4,秋田市,20,岐阜市,31618,700213
221,4,秋田市,21,静岡市,31086,679452
222,4,秋田市,22,名古屋市,31732,688936
223,4,秋田市,23,津市,35077,768843
224,4,秋田市,24,大津市,33279,771470
225,4,秋田市,25,京都市,33958,783975
226,4,秋田市,26,大阪市,36329,833039
227,4,秋田市,27,神戸市,37058,849559
228,4,秋田市,28,奈良市,35697,815694
229,4,秋田市,29,和歌山市,39662,903851
230,4,秋田市,30,鳥取市,39522,918548
231,4,秋田市,31,松江市,44406,1037091
232,4,秋田市,32,岡山市,42129,975897
233,4,秋田市,33,広島市,49032,1138519
234,4,秋田市,34,山口市,53827,1264594
235,4,秋田市,35,徳島市,42149,958660
236,4,秋田市,36,高松市,45125,1009187
237,4,秋田市,37,松山市,49923,1157381
238,4,秋田市,38,高知市,49937,1141904
239,4,秋田市,39,福岡市,60758,1402916
240,4,秋田市,40,佐賀市,62662,1449157
241,4,秋田市,41,長崎市,66562,1538085
242,4,秋田市,42,熊本市,64513,1496222
243,4,秋田市,43,大分市,63139,1458459
244,4,秋田市,44,宮崎市,71274,1640464
245,4,秋田市,45,鹿児島市,74117,1682001
246,4,秋田市,46,那覇市,552004,2473674
247,4,秋田市,47,Odawara,28814,631712
248,4,秋田市,48,Osaka,37362,851645
249,4,秋田市,49,Chiba,25925,583434
250,5,山形市,0,札幌市,38455,781177
251,5,山形市,1,青森市,16626,364420
252,5,山形市,2,盛岡市,10703,241732
253,5,山形市,3,仙台市,2945,59219
254,5,山形市,4,秋田市,8952,201264
255,5,山形市,5,山形市,0,0
256,5,山形市,6,福島市,4026,89741
257,5,山形市,7,水戸市,11870,264761
258,5,山形市,8,宇都宮市,11293,245452
259,5,山形市,9,前橋市,15288,334640
260,5,山形市,10,さいたま市,15394,338129
261,5,山形市,11,千葉市,16763,371353
262,5,山形市,12,新宿区,16437,357416
263,5,山形市,13,横浜市,17615,386671
264,5,山形市,14,新潟市,7181,161139
265,5,山形市,15,富山市,17598,404186
266,5,山形市,16,金沢市,19795,457345
267,5,山形市,17,福井市,22918,534824
268,5,山形市,18,甲府市,21795,456369
269,5,山形市,19,長野市,15543,340989
270,5,山形市,20,岐阜市,27015,602525
271,5,山形市,21,静岡市,24313,528177
272,5,山形市,22,名古屋市,27129,591248
273,5,山形市,23,津市,30474,671156
274,5,山形市,24,大津市,28675,673783
275,5,山形市,25,京都市,29355,686288
276,5,山形市,26,大阪市,31726,735352
277,5,山形市,27,神戸市,32454,751872
278,5,山形市,28,奈良市,31094,718006
279,5,山形市,29,和歌山市,35059,806163
280,5,山形市,30,鳥取市,34919,820861
281,5,山形市,31,松江市,39803,939404
282,5,山形市,32,岡山市,37526,878209
283,5,山形市,33,広島市,44429,1040831
284,5,山形市,34,山口市,49224,1166906
285,5,山形市,35,徳島市,37546,860973
286,5,山形市,36,高松市,40522,911499
287,5,山形市,37,松山市,45319,1059694
288,5,山形市,38,高知市,45333,1044216
289,5,山形市,39,福岡市,56155,1305228
290,5,山形市,40,佐賀市,58059,1351469
291,5,山形市,41,長崎市,61958,1440398
292,5,山形市,42,熊本市,59910,1398535
293,5,山形市,43,大分市,58536,1360772
294,5,山形市,44,宮崎市,66671,1542776
295,5,山形市,45,鹿児島市,69514,1584313
296,5,山形市,46,那覇市,547401,2375987
297,5,山形市,47,Odawara,20097,432918
298,5,山形市,48,Osaka,32759,753957
299,5,山形市,49,Chiba,17208,384641
300,6,福島市,0,札幌市,40119,800395
301,6,福島市,1,青森市,20457,452677
302,6,福島市,2,盛岡市,12249,258268
303,6,福島市,3,仙台市,4316,81244
304,6,福島市,4,秋田市,12783,289521
305,6,福島市,5,山形市,4031,90418
306,6,福島市,6,福島市,0,0
307,6,福島市,7,水戸市,8291,182607
308,6,福島市,8,宇都宮市,7728,163407
309,6,福島市,9,前橋市,11723,252596
310,6,福島市,10,さいたま市,11815,255975
311,6,福島市,11,千葉市,13184,289199
312,6,福島市,12,新宿区,12858,275262
313,6,福島市,13,横浜市,14036,304517
314,6,福島市,14,新潟市,7967,174797
315,6,福島市,15,富山市,17981,402173
316,6,福島市,16,金沢市,20178,455333
317,6,福島市,17,福井市,23301,532811
318,6,福島市,18,甲府市,18230,374325
319,6,福島市,19,長野市,14761,321647
320,6,福島市,20,岐阜市,27064,581369
321,6,福島市,21,静岡市,20733,446023
322,6,福島市,22,名古屋市,26269,568391
323,6,福島市,23,津市,29614,648298
324,6,福島市,24,大津市,29058,671770
325,6,福島市,25,京都市,29738,684275
326,6,福島市,26,大阪市,32109,733339
327,6,福島市,27,神戸市,32837,749859
328,6,福島市,28,奈良市,31477,715994
329,6,福島市,29,和歌山市,35442,804150
330,6,福島市,30,鳥取市,35302,818848
331,6,福島市,31,松江市,40186,937391
332,6,福島市,32,岡山市,37909,876197
333,6,福島市,33,広島市,44812,1038819
334,6,福島市,34,山口市,49607,1164894
335,6,福島市,35,徳島市,37929,858960
336,6,福島市,36,高松市,40905,909487
337,6,福島市,37,松山市,45702,1057681
338,6,福島市,38,高知市,45716,1042204
339,6,福島市,39,福岡市,56538,1303216
340,6,福島市,40,佐賀市,58442,1349456
341,6,福島市,41,長崎市,62341,1438385
342,6,福島市,42,熊本市,60293,1396522
343,6,福島市,43,大分市,58919,1358759
344,6,福島市,44,宮崎市,67054,1540764
345,6,福島市,45,鹿児島市,69897,1582300
346,6,福島市,46,那覇市,547784,2373974
347,6,福島市,47,Odawara,16518,350764
348,6,福島市,48,Osaka,33142,751945
349,6,福島市,49,Chiba,13629,302487
350,7,水戸市,0,札幌市,48199,981544
351,7,水戸市,1,青森市,28312,627304
352,7,水戸市,2,盛岡市,20328,439417
353,7,水戸市,3,仙台市,12396,262393
354,7,水戸市,4,秋田市,20638,464148
355,7,水戸市,5,山形市,11886,265045
356,7,水戸市,6,福島市,8304,182703
357,7,水戸市,7,水戸市,0,0
358,7,水戸市,8,宇都宮市,3737,74344
359,7,水戸市,9,前橋市,6988,143339
360,7,水戸市,10,さいたま市,5218,104320
361,7,水戸市,11,千葉市,5114,106012
362,7,水戸市,12,新宿区,5523,111672
363,7,水戸市,13,横浜市,6734,140415
364,7,水戸市,14,新潟市,13080,289372
365,7,水戸市,15,富山市,20389,431082
366,7,水戸市,16,金沢市,22586,484242
367,7,水戸市,17,福井市,25492,526526
368,7,水戸市,18,甲府市,11880,227595
369,7,水戸市,19,長野市,13945,271662
370,7,水戸市,20,岐阜市,21670,486053
371,7,水戸市,21,静岡市,13374,281137
372,7,水戸市,22,名古屋市,20303,452120
373,7,水戸市,23,津市,22682,500459
374,7,水戸市,24,大津市,24650,552255
375,7,水戸市,25,京都市,25493,565037
376,7,水戸市,26,大阪市,27057,614500
377,7,水戸市,27,神戸市,28354,644265
378,7,水戸市,28,奈良市,25426,566621
379,7,水戸市,29,和歌山市,29351,655414
380,7,水戸市,30,鳥取市,34458,760657
381,7,水戸市,31,松江市,39278,872819
382,7,水戸市,32,岡山市,34539,758107
383,7,水戸市,33,広島市,41442,920729
384,7,水戸市,34,山口市,46479,1046898
385,7,水戸市,35,徳島市,33446,753366
386,7,水戸市,36,高松市,36422,803893
387,7,水戸市,37,松山市,42333,939592
388,7,水戸市,38,高知市,41247,903790
389,7,水戸市,39,福岡市,53169,1185127
390,7,水戸市,40,佐賀市,55072,1231367
391,7,水戸市,41,長崎市,58972,1320296
392,7,水戸市,42,熊本市,56923,1278433
393,7,水戸市,43,大分市,55550,1240670
