,from_node,to_node,dist,cost,lead_time,stage_time,kind
0,Odawara,札幌市,884.5632518037618,885.0,5,1,plnt-dc
1,Odawara,青森市,630.5865497272779,631.0,4,1,plnt-dc
2,Odawara,盛岡市,520.7235953162224,521.0,4,1,plnt-dc
3,Odawara,仙台市,363.8012781224668,364.0,4,2,plnt-dc
4,Odawara,秋田市,499.4303150297399,499.0,4,1,plnt-dc
5,Odawara,山形市,344.6915033348306,345.0,4,1,plnt-dc
6,Odawara,福島市,296.71257007297805,297.0,4,2,plnt-dc
7,Odawara,水戸市,162.82780374979257,163.0,4,2,plnt-dc
8,Odawara,宇都宮市,155.29377899150643,155.0,4,2,plnt-dc
9,Odawara,前橋市,123.59924229445112,124.0,4,1,plnt-dc
10,Odawara,さいたま市,75.64178353656084,76.0,4,1,plnt-dc
11,Odawara,千葉市,91.20695349058666,91.0,4,2,plnt-dc
12,Odawara,新宿区,63.52610483758327,64.0,4,2,plnt-dc
13,Odawara,横浜市,44.338408637334545,44.0,4,1,plnt-dc
14,Odawara,新潟市,291.4311511096671,291.0,4,2,plnt-dc
15,Odawara,富山市,237.64045489928725,238.0,4,1,plnt-dc
16,Odawara,金沢市,273.4008333867309,273.0,4,1,plnt-dc
17,Odawara,福井市,282.30132378854285,282.0,4,1,plnt-dc
18,Odawara,甲府市,70.76082781833408,71.0,4,2,plnt-dc
19,Odawara,長野市,177.28030610339604,177.0,4,1,plnt-dc
20,Odawara,岐阜市,224.70742031978003,225.0,4,1,plnt-dc
21,Odawara,静岡市,81.48865309642458,81.0,4,1,plnt-dc
22,Odawara,名古屋市,208.263739788751,208.0,4,2,plnt-dc
23,Odawara,津市,252.4143923892784,252.0,4,2,plnt-dc
24,Odawara,大津市,304.1672352386181,304.0,4,2,plnt-dc
25,Odawara,京都市,314.1531816306047,314.0,4,1,plnt-dc
26,Odawara,大阪市,341.4297198261712,341.0,4,1,plnt-dc
27,Odawara,神戸市,371.46870831441925,371.0,4,2,plnt-dc
28,Odawara,奈良市,313.5637524064171,314.0,4,2,plnt-dc
29,Odawara,和歌山市,386.38275227911515,386.0,4,1,plnt-dc
30,Odawara,鳥取市,450.007573755319,450.0,4,1,plnt-dc
31,Odawara,松江市,557.4702414260007,557.0,4,1,plnt-dc
32,Odawara,岡山市,484.29409115816657,484.0,4,1,plnt-dc
33,Odawara,広島市,622.5685786019127,623.0,4,2,plnt-dc
34,Odawara,山口市,716.1867282151402,716.0,4,1,plnt-dc
35,Odawara,徳島市,445.09481301505105,445.0,4,1,plnt-dc
36,Odawara,高松市,481.94152864388775,482.0,4,1,plnt-dc
37,Odawara,松山市,610.1398425148448,610.0,4,1,plnt-dc
38,Odawara,高知市,553.7934060028848,554.0,4,2,plnt-dc
39,Odawara,福岡市,825.9795897199035,826.0,5,2,plnt-dc
40,Odawara,佐賀市,848.0035038226873,848.0,5,1,plnt-dc
41,Odawara,長崎市,904.0423046337796,904.0,5,2,plnt-dc
42,Odawara,熊本市,826.6202923954996,827.0,5,2,plnt-dc
43,Odawara,大分市,732.9240734946309,733.0,4,1,plnt-dc
44,Odawara,宮崎市,811.384445298151,811.0,5,2,plnt-dc
45,Odawara,鹿児島市,901.8432402202266,902.0,5,2,plnt-dc
46,Odawara,那覇市,1490.7437028590155,1491.0,5,1,plnt-dc
47,Osaka,札幌市,1075.2521038594223,1075.0,5,1,plnt-dc
48,Osaka,青森市,838.7969541777197,839.0,5,1,plnt-dc
49,Osaka,盛岡市,764.7596675032074,765.0,4,1,plnt-dc
50,Osaka,仙台市,638.7003726400725,639.0,4,1,plnt-dc
51,Osaka,秋田市,707.7515237280666,708.0,4,1,plnt-dc
52,Osaka,山形市,602.5877358112684,603.0,4,2,plnt-dc
53,Osaka,福島市,575.4723114429931,575.0,4,1,plnt-dc
54,Osaka,水戸市,496.7140059649035,497.0,4,2,plnt-dc
55,Osaka,宇都宮市,461.3996325880579,461.0,4,2,plnt-dc
56,Osaka,前橋市,387.6373565963882,388.0,4,2,plnt-dc
57,Osaka,さいたま市,410.6215620788552,411.0,4,2,plnt-dc
58,Osaka,千葉市,443.7375095148016,444.0,4,2,plnt-dc
59,Osaka,新宿区,408.5545256064206,409.0,4,2,plnt-dc
60,Osaka,横浜市,397.35843066979135,397.0,4,1,plnt-dc
61,Osaka,新潟市,492.46454299663884,492.0,4,1,plnt-dc
62,Osaka,富山市,287.3296549153806,287.0,4,1,plnt-dc
63,Osaka,金沢市,250.99658473779098,251.0,4,1,plnt-dc
64,Osaka,福井市,182.37034249405326,182.0,4,2,plnt-dc
65,Osaka,甲府市,311.81825447246507,312.0,4,1,plnt-dc
66,Osaka,長野市,341.21456219385317,341.0,4,1,plnt-dc
67,Osaka,岐阜市,150.52822585603676,151.0,4,1,plnt-dc
68,Osaka,静岡市,274.9603647189255,275.0,4,2,plnt-dc
69,Osaka,名古屋市,152.39479228438117,152.0,4,2,plnt-dc
70,Osaka,津市,101.74077466336384,102.0,4,1,plnt-dc
71,Osaka,大津市,64.19775119275015,64.0,4,2,plnt-dc
72,Osaka,京都市,59.69300685920146,60.0,4,1,plnt-dc
73,Osaka,大阪市,16.733841865850156,17.0,4,2,plnt-dc
74,Osaka,神戸市,25.580743478676975,26.0,4,2,plnt-dc
75,Osaka,奈良市,40.55894222571765,41.0,4,1,plnt-dc
76,Osaka,和歌山市,43.82205107662422,44.0,4,2,plnt-dc
77,Osaka,鳥取市,149.72115091697597,150.0,4,2,plnt-dc
78,Osaka,松江市,237.87041101879137,238.0,4,2,plnt-dc
79,Osaka,岡山市,135.89552730491215,136.0,4,1,plnt-dc
80,Osaka,広島市,271.5451107994728,272.0,4,2,plnt-dc
81,Osaka,山口市,364.34155812800066,364.0,4,2,plnt-dc
82,Osaka,徳島市,96.09077253500175,96.0,4,2,plnt-dc
83,Osaka,高松市,128.1986367869933,128.0,4,2,plnt-dc
84,Osaka,松山市,256.4737996312563,256.0,4,1,plnt-dc
85,Osaka,高知市,206.31494292730642,206.0,4,2,plnt-dc
86,Osaka,福岡市,472.27309572044345,472.0,4,2,plnt-dc
87,Osaka,佐賀市,494.1689119999049,494.0,4,2,plnt-dc
88,Osaka,長崎市,551.2273035462647,551.0,4,1,plnt-dc
89,Osaka,熊本市,475.22248000763636,475.0,4,2,plnt-dc
90,Osaka,大分市,380.5925653002802,381.0,4,2,plnt-dc
91,Osaka,宮崎市,474.0023725037498,474.0,4,1,plnt-dc
92,Osaka,鹿児島市,562.3370794221146,562.0,4,1,plnt-dc
93,Osaka,那覇市,1187.5731003805947,1188.0,5,2,plnt-dc
94,Chiba,札幌市,842.9408282032857,843.0,5,2,plnt-dc
95,Chiba,青森市,589.759025398277,590.0,4,1,plnt-dc
96,Chiba,盛岡市,471.5348518023969,472.0,4,2,plnt-dc
97,Chiba,仙台市,310.4559696941168,310.0,4,1,plnt-dc
98,Chiba,秋田市,464.2581734723847,464.0,4,2,plnt-dc
99,Chiba,山形市,300.7239350534658,301.0,4,1,plnt-dc
100,Chiba,福島市,247.37947823866176,247.0,4,1,plnt-dc
101,Chiba,水戸市,93.64728454597011,94.0,4,2,plnt-dc
102,Chiba,宇都宮市,115.55306126099927,116.0,4,1,plnt-dc
103,Chiba,前橋市,133.66177627375023,134.0,4,1,plnt-dc
104,Chiba,さいたま市,54.574043302273495,55.0,4,1,plnt-dc
105,Chiba,千葉市,6.8658305049858415,7.0,4,1,plnt-dc
106,Chiba,新宿区,41.47649663571026,41.0,4,1,plnt-dc
107,Chiba,横浜市,43.98273052358314,44.0,4,2,plnt-dc
108,Chiba,新潟市,279.6997130615699,280.0,4,2,plnt-dc
109,Chiba,富山市,290.4532958918689,290.0,4,2,plnt-dc
110,Chiba,金沢市,334.5780407798438,335.0,4,2,plnt-dc
111,Chiba,福井市,355.72110613340766,356.0,4,1,plnt-dc
112,Chiba,甲府市,140.3724397948084,140.0,4,2,plnt-dc
113,Chiba,長野市,212.91052688075413,213.0,4,2,plnt-dc
114,Chiba,岐阜市,307.6112040044353,308.0,4,1,plnt-dc
115,Chiba,静岡市,169.30430174682112,169.0,4,1,plnt-dc
116,Chiba,名古屋市,293.6121459901839,294.0,4,1,plnt-dc
117,Chiba,津市,340.05774105657684,340.0,4,1,plnt-dc
118,Chiba,大津市,390.0121531575307,390.0,4,2,plnt-dc
119,Chiba,京都市,399.8096680439931,400.0,4,1,plnt-dc
120,Chiba,大阪市,428.5352660466995,429.0,4,2,plnt-dc
121,Chiba,神戸市,458.32784252513267,458.0,4,2,plnt-dc
122,Chiba,奈良市,400.88733915113215,401.0,4,1,plnt-dc
123,Chiba,和歌山市,474.29665988733615,474.0,4,1,plnt-dc
124,Chiba,鳥取市,531.6743491303821,532.0,4,2,plnt-dc
125,Chiba,松江市,639.2640093413747,639.0,4,1,plnt-dc
126,Chiba,岡山市,570.4888719897417,570.0,4,2,plnt-dc
127,Chiba,広島市,708.8390978255279,709.0,4,2,plnt-dc
128,Chiba,山口市,802.5456164630153,803.0,5,1,plnt-dc
129,Chiba,徳島市,532.9950402192931,533.0,4,1,plnt-dc
130,Chiba,高松市,569.1722871311482,569.0,4,1,plnt-dc
131,Chiba,松山市,697.7251558106298,698.0,4,2,plnt-dc
132,Chiba,高知市,641.7841518903915,642.0,4,2,plnt-dc
133,Chiba,福岡市,913.0418131888265,913.0,5,2,plnt-dc
134,Chiba,佐賀市,935.5033444391952,936.0,5,1,plnt-dc
135,Chiba,長崎市,991.8636606672545,992.0,5,1,plnt-dc
136,Chiba,熊本市,914.5615175959479,915.0,5,1,plnt-dc
137,Chiba,大分市,820.7814139481048,821.0,5,2,plnt-dc
138,Chiba,宮崎市,898.9446424908992,899.0,5,2,plnt-dc
139,Chiba,鹿児島市,989.4616254484288,989.0,5,1,plnt-dc
140,Chiba,那覇市,1573.666437270787,1574.0,5,1,plnt-dc
141,札幌市,札幌市,0.0,0.0,3,2,dc-cust
142,青森市,青森市,0.0,0.0,3,2,dc-cust
143,盛岡市,青森市,129.45174502516338,1295.0,4,2,dc-cust
144,秋田市,青森市,134.33114124542257,1343.0,4,1,dc-cust
145,青森市,盛岡市,129.45174502516355,1295.0,4,2,dc-cust
146,盛岡市,盛岡市,0.0,0.0,3,1,dc-cust
147,仙台市,盛岡市,161.36595441613483,1614.0,4,1,dc-cust
148,秋田市,盛岡市,89.83162916222581,898.0,4,1,dc-cust
149,山形市,盛岡市,176.4076389302414,1764.0,4,1,dc-cust
150,盛岡市,仙台市,161.3659544161345,1614.0,4,1,dc-cust
151,仙台市,仙台市,0.0,0.0,3,2,dc-cust
152,秋田市,仙台市,174.37634434730637,1744.0,4,1,dc-cust
153,山形市,仙台市,44.52218464502658,445.0,4,2,dc-cust
154,福島市,仙台市,67.69668084883808,677.0,4,2,dc-cust
155,新潟市,仙台市,166.82259214784463,1668.0,4,2,dc-cust
156,青森市,秋田市,134.33114124542212,1343.0,4,1,dc-cust
157,盛岡市,秋田市,89.83162916222581,898.0,4,1,dc-cust
158,仙台市,秋田市,174.37634434730572,1744.0,4,2,dc-cust
159,秋田市,秋田市,0.0,0.0,3,2,dc-cust
160,山形市,秋田市,165.89088753039042,1659.0,4,1,dc-cust
161,盛岡市,山形市,176.4076389302416,1764.0,4,2,dc-cust
162,仙台市,山形市,44.52218464502658,445.0,4,1,dc-cust
163,秋田市,山形市,165.89088753038988,1659.0,4,2,dc-cust
164,山形市,山形市,0.0,0.0,3,1,dc-cust
165,福島市,山形市,55.31040959175612,553.0,4,2,dc-cust
166,宇都宮市,山形市,190.98104438000775,1910.0,4,1,dc-cust
167,新潟市,山形市,123.1611149049393,1232.0,4,2,dc-cust
168,仙台市,福島市,67.69668084883848,677.0,4,1,dc-cust
169,山形市,福島市,55.31040959175657,553.0,4,2,dc-cust
170,福島市,福島市,0.0,0.0,3,2,dc-cust
171,水戸市,福島市,156.64171006393352,1566.0,4,1,dc-cust
172,宇都宮市,福島市,141.4841379469348,1415.0,4,2,dc-cust
173,前橋市,福島市,195.9881458895055,1960.0,4,2,dc-cust
174,新潟市,福島市,127.96485863592653,1280.0,4,2,dc-cust
175,福島市,水戸市,156.64171006393346,1566.0,4,2,dc-cust
176,水戸市,水戸市,0.0,0.0,3,2,dc-cust
177,宇都宮市,水戸市,56.20380728598191,562.0,4,2,dc-cust
178,前橋市,水戸市,124.20887573463902,1242.0,4,1,dc-cust
179,さいたま市,水戸市,89.66204246328758,897.0,4,2,dc-cust
180,千葉市,水戸市,86.92831647314864,869.0,4,2,dc-cust
181,新宿区,水戸市,99.32944686258215,993.0,4,1,dc-cust
182,横浜市,水戸市,122.96531890531355,1230.0,4,1,dc-cust
