1010820.670920 10711.670920 109.000000 1000000.000000 1000000000.000000 
vehicle, 1, 2091.292251, 2076.292251, 15.000000, 0.000000
customer,distance,freight_1M1_0,freight_1M1_1,arrival,service,departure,timecost,travelcost,
0,,7.000000,-0.000000,,,0.000000,,0.000000,
47,435.000000,-1.000000,1.000000,435.000000,872.000000,890.000000,0.000000,0.000000,
36,939.286625,3.000000,1.000000,1394.286625,1394.286625,1408.286625,0.000000,0.000000,
8,997.424392,2.000000,0.000000,1466.424392,1704.000000,1724.000000,0.000000,0.000000,
15,1195.585943,-1.000000,1.000000,1922.161550,1922.161550,1941.161550,0.000000,0.000000,
37,1328.043483,1.000000,1.000000,2073.619091,2073.619091,2091.619091,0.000000,0.000000,
24,1423.819263,1.000000,0.000000,2187.394870,2602.000000,2620.000000,0.000000,0.000000,
48,1469.862720,-5.000000,1.000000,2666.043458,2666.043458,2680.043458,0.000000,0.000000,
21,1585.556281,5.000000,0.000000,2795.737018,2795.737018,2811.737018,0.000000,0.000000,
29,1762.126381,1.000000,0.000000,2988.307118,2988.307118,3002.307118,0.000000,0.000000,
33,1872.008135,5.000000,0.000000,3112.188873,3112.188873,3129.188873,0.000000,0.000000,
0,2076.292251,18.000000,5.000000,3333.472988,3333.472988,,0.000000,,
vehicle, 2, 2323.254083, 2293.254083, 30.000000, 0.000000
customer,distance,freight_1M1_0,freight_1M1_1,arrival,service,departure,timecost,travelcost,
0,,23.000000,-0.000000,,,0.000000,,0.000000,
46,496.910455,2.000000,0.000000,496.910455,496.910455,508.910455,0.000000,0.000000,
17,568.499560,4.000000,0.000000,580.499560,817.000000,835.000000,0.000000,0.000000,
6,859.858445,4.000000,1.000000,1126.358885,1728.000000,1745.000000,0.000000,0.000000,
18,991.956893,-3.000000,1.000000,1877.098448,2366.000000,2386.000000,0.000000,0.000000,
22,1194.897771,-5.000000,1.000000,2588.940878,2588.940878,2606.940878,0.000000,0.000000,
20,1245.107332,-5.000000,0.000000,2657.150439,2657.150439,2674.150439,0.000000,0.000000,
10,1299.448845,-3.000000,1.000000,2728.491952,2745.000000,2764.000000,0.000000,0.000000,
28,1426.200571,-3.000000,0.000000,2890.751726,2890.751726,2907.751726,0.000000,0.000000,
49,1738.283893,-4.000000,1.000000,3219.835048,3219.835048,3238.835048,0.000000,0.000000,
43,1774.684442,3.000000,1.000000,3275.235597,3275.235597,3291.235597,0.000000,0.000000,
39,1817.823752,4.000000,1.000000,3334.374907,3334.374907,3347.374907,0.000000,0.000000,
0,2293.254083,17.000000,7.000000,3822.805238,3822.805238,,0.000000,,
vehicle, 3, 1393.401063, 1377.401063, 16.000000, 0.000000
